bank,target,median_J_true,median_J_zero,median_J_nearest_wrong
A,clean,7.455150811345224,7.455150811345224,18.674675836235018
A,brightness_dark,134.53475854571468,296.36631869423684,260.51698514772403
A,contrast_low,15.722588483614945,106.61596026818856,56.066254834975915
A,gaussian_noise,8.027969082686255,28.270618156682744,28.270618156682744
A,gaussian_blur,10.03967768307924,25.75501115685904,23.905972269037377
B,clean,7.132920122657158,7.132920122657158,18.796354243487695
B,brightness_dark,138.4127852485899,297.54516707974875,261.2474135040436
B,contrast_low,16.271978612318215,106.90762508544992,53.640075496819065
B,gaussian_noise,7.5712625742663375,29.74060485483364,29.74060485483364
B,gaussian_blur,9.81061191257514,25.830046012585115,23.30206270869533
