target,context,layer,restoration_ratio,mse_before,mse_after,gamma_abs_mean,beta_abs_mean,negative_scale_fraction,cap_fraction,gamma_abs_max_max,beta_abs_max_max,cap_fraction_max,clients_cap_gt10pct
brightness_dark,correct_pair,1,0.3470761984868977,0.1233257748764424,0.043158273357363726,1.4184317243099214,0.24097518414258956,0.0,0.0571875,7.0,1.757897973060608,0.0625,0
brightness_dark,correct_pair,2,0.8812096252454278,0.05931952675265218,0.05221693142159275,0.2534431195259094,0.12627424813807012,0.0115625,0.0,1.2982451915740967,1.7316572666168213,0.0,0
brightness_dark,low_semantic_derangement,1,0.5467172175971825,0.1838085965065219,0.10058024940021364,1.0003586310148238,0.2515502502024174,0.3521875,0.0,3.467134475708008,1.0652546882629395,0.0,0
brightness_dark,low_semantic_derangement,2,0.8528645875228491,0.19724515227196612,0.16811270330542943,1.6250136810541154,0.9812740394473076,0.2171875,0.01375,9.0,15.450899124145508,0.15625,1
brightness_dark,high_semantic_derangement,1,0.5490182474577072,0.18301953672815618,0.10055617556073543,0.983431846499443,0.24664033815264702,0.2584375,0.0,5.772251129150391,0.9396558403968811,0.0,0
brightness_dark,high_semantic_derangement,2,0.8533207041173944,0.19687792911994706,0.16789615685967313,1.5188075637817382,0.9118205571174621,0.1871875,0.0103125,9.0,16.15352439880371,0.0625,0
brightness_dark,random_derangement_0,1,0.5482545936548926,0.1833026249138897,0.10057800915177091,0.9845728528499603,0.2481805357336998,0.3034375,0.0,3.7148916721343994,0.9414175152778625,0.0,0
brightness_dark,random_derangement_0,2,0.8535538608531016,0.19714540163234312,0.16817469912137561,1.5597513437271118,0.9452050256729126,0.210625,0.01125,9.0,17.266563415527344,0.09375,0
brightness_dark,random_derangement_1,1,0.5492170386206885,0.1829794066998887,0.10054911763836342,0.975571249127388,0.245824244171381,0.269375,0.0,6.132983684539795,0.9396558403968811,0.0,0
brightness_dark,random_derangement_1,2,0.8536785812308636,0.19689910134611768,0.16799430508731145,1.5384450268745422,0.9335796386003494,0.195,0.01296875,9.0,17.249284744262695,0.109375,2
