target,context,accuracy,macro_client_accuracy,same_label_weighted,same_label_macro
brightness_dark,none,17.640800563718493,18.259971715975553,,
brightness_dark,correct_pair,33.539464360246555,32.35080937994644,1.0,1.0
brightness_dark,wrong_alt,15.71248080968781,16.570566940587014,,
brightness_dark,noise_source,31.21883128155069,28.836475285235792,,
brightness_dark,low_semantic_derangement,31.039298013493863,28.645880637224764,0.5719333749653472,0.5346943450178953
brightness_dark,high_semantic_derangement,32.708291911333475,29.93320278218016,0.7114498437822517,0.6833905620071812
brightness_dark,random_derangement_0,31.358468066433417,29.3914967183955,0.6289804237636175,0.5974721403296857
brightness_dark,random_derangement_1,32.01010716056688,29.80335653340444,0.6412320045610649,0.6101220961300392
brightness_dark,random_derangement_2,32.675045093029034,30.06395429512486,0.6308872554070294,0.5989939695717185
brightness_dark,random_derangement_3,31.86382083261594,28.896814794745296,0.6343487177629281,0.6012363262284935
brightness_dark,random_derangement_4,32.21623803054429,29.52701268112287,0.6348737409644488,0.6019888045392682
brightness_dark,random_derangement_5,31.837223433590403,29.475758435670286,0.631689410385325,0.5999340591712202
brightness_dark,random_derangement_6,31.391715134694465,29.315275338944048,0.633991532680773,0.6001667297142275
brightness_dark,random_derangement_7,31.145688196900814,28.766529174055904,0.6303717358709809,0.6020915464454749
contrast_low,none,20.087771783004776,20.05806868383661,,
contrast_low,correct_pair,28.25985794082327,27.03049929998815,1.0,1.0
contrast_low,wrong_alt,23.412460963834956,22.487279551569372,,
contrast_low,noise_source,31.458208985360784,28.39304815372452,,
contrast_low,low_semantic_derangement,30.440854099266733,27.775669091381133,0.5719333749653472,0.5346943450178953
contrast_low,high_semantic_derangement,31.58454707151877,28.98458119784482,0.7114498437822517,0.6833905620071812
contrast_low,random_derangement_0,30.899660854684097,28.816609947709367,0.6289804237636175,0.5974721403296857
contrast_low,random_derangement_1,30.879712844396543,28.30213720118627,0.6412320045610649,0.6101220961300392
contrast_low,random_derangement_2,32.25613421240559,29.758479671087116,0.6308872554070294,0.5989939695717185
contrast_low,random_derangement_3,31.411663237465586,28.339003868866712,0.6343487177629281,0.6012363262284935
contrast_low,random_derangement_4,31.02599919930438,28.30843167984858,0.6348737409644488,0.6019888045392682
contrast_low,random_derangement_5,31.49145576529516,29.138334698509425,0.631689410385325,0.5999340591712202
contrast_low,random_derangement_6,30.5937897754909,28.518128802534193,0.633991532680773,0.6001667297142275
contrast_low,random_derangement_7,30.141631973485257,27.766783969011158,0.6303717358709809,0.6020915464454749
gaussian_noise,none,30.74672521857479,29.499900958500803,,
gaussian_noise,correct_pair,33.08065695717482,31.788979849312454,1.0,1.0
gaussian_noise,wrong_alt,28.339650182230436,27.39585786452517,,
gaussian_noise,noise_source,30.540594692519157,27.760611889418215,,
gaussian_noise,low_semantic_derangement,31.45820890350546,28.95539334928617,0.5719333749653472,0.5346943450178953
gaussian_noise,high_semantic_derangement,32.36252421286732,29.68002046411857,0.7114498437822517,0.6833905620071812
gaussian_noise,random_derangement_0,31.13903876065386,29.13423746312037,0.6289804237636175,0.5974721403296857
gaussian_noise,random_derangement_1,31.770729543457904,29.454345522914082,0.6412320045610649,0.6101220961300392
gaussian_noise,random_derangement_2,32.229536730930235,29.89409912051633,0.6308872554070294,0.5989939695717185
gaussian_noise,random_derangement_3,31.74413200065608,28.85199095448479,0.6343487177629281,0.6012363262284935
gaussian_noise,random_derangement_4,32.229536789463786,29.72849802626297,0.6348737409644488,0.6019888045392682
gaussian_noise,random_derangement_5,31.863820943217846,29.368255653884262,0.631689410385325,0.5999340591712202
gaussian_noise,random_derangement_6,31.40501385590496,29.267716977046803,0.633991532680773,0.6001667297142275
gaussian_noise,random_derangement_7,30.454152798748538,28.109053760766983,0.6303717358709809,0.6020915464454749
gaussian_blur,none,30.99275230779893,30.511363789904863,,
gaussian_blur,correct_pair,33.33998259147777,32.24195025768131,1.0,1.0
gaussian_blur,wrong_alt,27.262450999700647,26.234074051957577,,
gaussian_blur,noise_source,30.99940184525654,28.165812422987074,,
gaussian_blur,low_semantic_derangement,31.411663007406183,29.023028283845633,0.5719333749653472,0.5346943450178953
gaussian_blur,high_semantic_derangement,32.555356242998826,29.81461613951251,0.7114498437822517,0.6833905620071812
gaussian_blur,random_derangement_0,31.39836430869847,29.3794007753022,0.6289804237636175,0.5974721403296857
gaussian_blur,random_derangement_1,31.690937004797274,29.35654150461778,0.6412320045610649,0.6101220961300392
gaussian_blur,random_derangement_2,32.29603045337017,29.821440185885876,0.6308872554070294,0.5989939695717185
gaussian_blur,random_derangement_3,31.910366346884725,28.90721436170861,0.6343487177629281,0.6012363262284935
gaussian_blur,random_derangement_4,32.01675659408904,29.372461296152323,0.6348737409644488,0.6019888045392682
gaussian_blur,random_derangement_5,31.75078159718291,29.407736476045102,0.631689410385325,0.5999340591712202
gaussian_blur,random_derangement_6,31.34516948510709,29.206862238468602,0.633991532680773,0.6001667297142275
gaussian_blur,random_derangement_7,30.686881050876334,28.51347559923306,0.6303717358709809,0.6020915464454749
