client,target,context,centered_acc,centered_same_label
11,brightness_dark,random_derangement_6,20.8333320915699,0.01171875
11,brightness_dark,random_derangement_7,-44.72222253680229,-0.05078125
12,brightness_dark,random_derangement_0,0.22865859791636467,-0.041015625
12,brightness_dark,random_derangement_1,0.8384148590266705,-0.041015625
12,brightness_dark,random_derangement_2,-0.3810976631939411,0.052734375
12,brightness_dark,random_derangement_3,0.22865859791636467,0.037109375
12,brightness_dark,random_derangement_4,0.22865859791636467,0.037109375
12,brightness_dark,random_derangement_5,-0.3810976631939411,-0.009765625
12,brightness_dark,random_derangement_6,-0.3810976631939411,-0.025390625
12,brightness_dark,random_derangement_7,-0.3810976631939411,-0.009765625
13,brightness_dark,random_derangement_0,0.0,-0.001953125
13,brightness_dark,random_derangement_1,0.0,-0.001953125
13,brightness_dark,random_derangement_2,0.0,-0.001953125
13,brightness_dark,random_derangement_3,0.0,0.060546875
13,brightness_dark,random_derangement_4,0.0,-0.017578125
13,brightness_dark,random_derangement_5,0.0,-0.017578125
13,brightness_dark,random_derangement_6,0.0,-0.048828125
13,brightness_dark,random_derangement_7,0.0,0.029296875
14,brightness_dark,random_derangement_0,-6.5140873193740845,-0.0078125
14,brightness_dark,random_derangement_1,4.753521084785461,0.0234375
14,brightness_dark,random_derangement_2,4.753521084785461,-0.0078125
14,brightness_dark,random_derangement_3,-0.8802801370620728,0.0234375
14,brightness_dark,random_derangement_4,10.387322306632996,-0.0078125
14,brightness_dark,random_derangement_5,-2.2887319326400757,-0.0078125
14,brightness_dark,random_derangement_6,-2.2887319326400757,-0.0078125
14,brightness_dark,random_derangement_7,-7.92253315448761,-0.0078125
15,brightness_dark,random_derangement_0,0.0,0.0
15,brightness_dark,random_derangement_1,0.0,0.0
15,brightness_dark,random_derangement_2,0.0,0.0
15,brightness_dark,random_derangement_3,0.0,0.0
15,brightness_dark,random_derangement_4,0.0,0.0
15,brightness_dark,random_derangement_5,0.0,0.0
15,brightness_dark,random_derangement_6,0.0,0.0
15,brightness_dark,random_derangement_7,0.0,0.0
16,brightness_dark,random_derangement_0,3.571428917348385,-0.0020491803278688825
16,brightness_dark,random_derangement_1,-1.190476305782795,-0.0020491803278688825
16,brightness_dark,random_derangement_2,3.571428917348385,-0.0020491803278688825
16,brightness_dark,random_derangement_3,-1.190476305782795,-0.01844262295081972
16,brightness_dark,random_derangement_4,-1.190476305782795,0.09631147540983609
16,brightness_dark,random_derangement_5,-1.190476305782795,-0.05122950819672134
16,brightness_dark,random_derangement_6,-1.190476305782795,-0.0348360655737705
