client,target,n_query,correct,low,high,random_mean,same_label_low,same_label_high,same_label_random_mean,correct_low,correct_high,high_low,correct_random_mean
0,brightness_dark,178,31.460675597190857,5.056179687380791,5.056179687380791,5.056179687380791,0.515625,0.671875,0.587890625,26.404495909810066,26.404495909810066,0.0,26.404495909810066
1,brightness_dark,99,14.141413569450378,0.0,0.0,0.0,0.8125,0.859375,0.822265625,14.141413569450378,14.141413569450378,0.0,14.141413569450378
2,brightness_dark,140,1.4285714365541935,0.0,0.0,0.0,0.90625,0.9375,0.908203125,1.4285714365541935,1.4285714365541935,0.0,1.4285714365541935
3,brightness_dark,216,14.351852238178253,0.0,0.0,0.0,1.0,1.0,1.0,14.351852238178253,14.351852238178253,0.0,14.351852238178253
4,brightness_dark,105,1.904761977493763,0.0,0.0,0.0,0.34375,0.5625,0.470703125,1.904761977493763,1.904761977493763,0.0,1.904761977493763
5,brightness_dark,158,31.012660264968872,10.126582533121109,17.721518874168396,10.443038074299693,0.265625,0.46875,0.3671875,20.886077731847763,13.291141390800476,7.594936341047287,20.56962219066918
6,brightness_dark,261,47.12643623352051,54.7892689704895,54.7892689704895,54.7892689704895,0.375,0.625,0.48046875,-7.662832736968994,-7.662832736968994,0.0,-7.662832736968994
7,brightness_dark,197,22.335025668144226,0.0,11.675126850605011,5.520304571837187,0.53125,0.6875,0.603515625,22.335025668144226,10.659898817539215,11.675126850605011,16.81472109630704
8,brightness_dark,193,11.398963630199432,0.0,0.0,0.0,0.75,0.84375,0.767578125,11.398963630199432,11.398963630199432,0.0,11.398963630199432
9,brightness_dark,176,26.13636553287506,0.0,0.5681818351149559,0.07102272938936949,0.65625,0.765625,0.716796875,26.13636553287506,25.568183697760105,0.5681818351149559,26.06534280348569
10,brightness_dark,282,16.66666567325592,10.283687710762024,13.475176692008972,12.189716100692749,0.359375,0.515625,0.423828125,6.3829779624938965,3.1914889812469482,3.1914889812469482,4.476949572563171
11,brightness_dark,180,62.77778148651123,69.9999988079071,82.77778029441833,63.055556267499924,0.40625,0.625,0.48828125,-7.222217321395874,-19.999998807907104,12.77778148651123,-0.27777478098869324
12,brightness_dark,164,20.73170691728592,6.707316637039185,6.707316637039185,7.088414300233126,0.625,0.734375,0.681640625,14.024390280246735,14.024390280246735,0.0,13.643292617052794
13,brightness_dark,80,61.250001192092896,76.2499988079071,76.2499988079071,76.2499988079071,0.46875,0.65625,0.548828125,-14.999997615814209,-14.999997615814209,0.0,-14.999997615814209
14,brightness_dark,71,67.60563254356384,95.77464461326599,94.36619281768799,86.795774102211,0.875,0.9375,0.8828125,-28.16901206970215,-26.760560274124146,-1.408451795578003,-19.190141558647156
15,brightness_dark,236,0.42372881434857845,0.0,0.0,0.0,1.0,1.0,1.0,0.42372881434857845,0.42372881434857845,0.0,0.42372881434857845
16,brightness_dark,21,57.14285969734192,9.5238097012043,9.5238097012043,10.714286006987095,0.3770491803278688,0.5409836065573771,0.444672131147541,47.61904999613762,47.61904999613762,0.0,46.428573690354824
17,brightness_dark,87,68.96551847457886,72.41379022598267,74.71264600753784,75.86206793785095,0.4375,0.65625,0.525390625,-3.4482717514038086,-5.747127532958984,2.298855781555176,-6.896549463272095
18,brightness_dark,10,10.000000149011612,0.0,0.0,0.0,0.4,0.6666666666666666,0.5333333333333333,10.000000149011612,10.000000149011612,0.0,10.000000149011612
