bank,target,none,oracle,selected_mixed,wrong_alt,tau_pp,sample_weighted,macro_client,oracle_gain,retained_recovery,selected_wrong_margin,passed
A,brightness_dark,17.546026454211063,32.29653570328799,32.29653570328799,14.903865455386008,4.148165866389369,32.36252410399628,31.268558897347983,14.750509249076924,1.0,17.39267024790198,True
A,contrast_low,19.95526398771052,28.56147342050601,28.56147342050601,22.733171407184606,3.5458564830145045,28.63887226544318,27.36103104812443,8.606209432795492,1.0,5.828302013321405,True
A,gaussian_noise,30.67664385146025,32.49955759017932,32.49955759017932,30.382434469751427,0.8655115170770724,32.575304209056455,31.38728201450004,1.8229137387190733,1.0,2.1171231204278946,True
A,gaussian_blur,30.901579176174373,33.04849966816344,31.6379668277933,29.798137175692325,0.8092776858985413,31.704235653966354,31.229868863328864,2.1469204919890643,0.3429971693719701,1.839829652100974,False
B,brightness_dark,17.546026454211063,32.424807666744606,32.424807666744606,15.489586518933976,4.148165866389369,32.48886229137575,31.338011257580153,14.878781212533543,1.0,16.93522114781063,True
B,contrast_low,19.95526398771052,28.1116255098242,28.1116255098242,22.693556051591294,3.5458564830145045,28.186714542190305,26.830967308656785,8.15636152211368,1.0,5.418069458232907,True
B,gaussian_noise,30.67664385146025,32.40677112345037,32.40677112345037,30.537679919179993,0.8655115170770724,32.482212913092624,31.267717362254558,1.7301272719901206,1.0,1.8690912042703758,True
B,gaussian_blur,30.901579176174373,33.009919087373774,32.03773455056079,28.35423498515749,0.8092776858985413,32.109847729237316,31.39402835080693,2.1083399111994012,0.538886243319313,3.6834995654033023,False
