bank,none,selected,delta_pp,passed,sample_weighted,macro_client
A,34.13868991976854,33.528368593135475,-0.6103213266330627,False,33.605957842941685,32.56852005513038
B,34.13868991976854,33.52250461955852,-0.6161853002100202,False,33.599308464658556,32.48606178705085
