bank,heldout,batch,true_context,selected,zero_consistency,selected_consistency,consistency_improvement,selected_agreement,zero_agreement,true_state_rank_by_consistency
A,B,0,noise_image,contrast_low,0.0036772996535343163,4.948507257235843e-05,0.003627814580961958,1.0,0.9,
A,B,1,noise_image,contrast_low,0.0036259979707498565,5.0572117973129464e-05,0.003575425852776727,1.0,0.9500000000000001,
A,B,2,noise_image,contrast_low,0.002016257941539918,2.9873199044177967e-05,0.00198638474249574,1.0,1.0,
A,B,3,noise_image,contrast_low,0.0031609068223634983,3.871915607364703e-05,0.003122187666289851,1.0,1.0,
B,A,0,noise_image,contrast_low,0.0043718301577652125,2.6089754603261103e-05,0.004345740403161952,1.0,1.0,
B,A,1,noise_image,contrast_low,0.0028111212111981906,1.3241455420462485e-05,0.0027978797557777282,1.0,1.0,
B,A,2,noise_image,contrast_low,0.0030609578952785505,2.088899578790345e-05,0.0030400688994906473,1.0,0.9500000000000001,
B,A,3,noise_image,contrast_low,0.004398661113007884,2.7650969219301328e-05,0.004371010143788583,1.0,0.9500000000000001,
