client,bank,true_context,selected,zero_consistency,selected_consistency,consistency_improvement,selected_agreement,zero_agreement,true_state_rank_by_consistency
0,A,clean,gaussian_noise,0.004226147432089807,0.003901652421640192,0.00032449501044961486,0.8500000000000001,0.8500000000000001,2
0,B,clean,gaussian_noise,0.004226147432089807,0.00384779638459596,0.00037835104749384726,0.8500000000000001,0.8500000000000001,2
0,A,brightness_dark,clean,0.00063602013222261,0.00063602013222261,0.0,0.9500000000000001,0.9500000000000001,5
0,B,brightness_dark,gaussian_noise,0.00063602013222261,0.000578016870724396,5.800326149821397e-05,1.0,0.9500000000000001,5
0,A,contrast_low,gaussian_noise,0.0005046057995641696,0.00045760689336578857,4.6998906198381064e-05,0.9500000000000001,0.9,4
0,B,contrast_low,gaussian_noise,0.0005046057995641696,0.00046063228494309114,4.397351462107849e-05,1.0,0.9,4
0,A,gaussian_noise,contrast_low,0.004056826434371993,0.0026821330180057004,0.0013746934163662923,1.0,0.8,3
0,B,gaussian_noise,contrast_low,0.004056826434371993,0.002199649399002176,0.0018571770353698167,0.9500000000000001,0.8,2
0,A,gaussian_blur,clean,0.003045535234900457,0.003045535234900457,0.0,0.9,0.9,3
0,B,gaussian_blur,clean,0.003045535234900457,0.003045535234900457,0.0,0.9,0.9,3
1,A,clean,gaussian_noise,0.0037546039680047393,0.0033540028960612756,0.00040060107194346377,0.9,0.8,2
1,B,clean,gaussian_noise,0.0037546039680047393,0.003329961548182707,0.0004246424198220324,0.8500000000000001,0.8,2
1,A,brightness_dark,gaussian_noise,0.0007166979859860369,0.0005982393968154645,0.00011845858917057246,1.0,0.9500000000000001,5
1,B,brightness_dark,gaussian_noise,0.0007166979859860369,0.0005963450281199141,0.0001203529578661228,1.0,0.9500000000000001,5
1,A,contrast_low,clean,0.0003804901622054503,0.0003804901622054503,0.0,1.0,1.0,4
1,B,contrast_low,clean,0.0003804901622054503,0.0003804901622054503,0.0,1.0,1.0,4
1,A,gaussian_noise,contrast_low,0.0036742143897453075,0.003075359362545787,0.0005988550271995205,1.0,0.9,2
1,B,gaussian_noise,contrast_low,0.0036742143897453075,0.0026604356933340075,0.0010137786964113,0.9500000000000001,0.9,2
1,A,gaussian_blur,clean,0.0021295329092496057,0.0021295329092496057,0.0,1.0,1.0,3
1,B,gaussian_blur,clean,0.0021295329092496057,0.0021295329092496057,0.0,1.0,1.0,3
2,A,clean,contrast_low,0.004775439080726234,0.004341355231584563,0.0004340838491416711,1.0,0.8500000000000001,3
2,B,clean,contrast_low,0.004775439080726234,0.003081509088687516,0.001693929992038718,1.0,0.8500000000000001,3
2,A,brightness_dark,clean,0.0008530754822044257,0.0008530754822044257,0.0,1.0,1.0,5
2,B,brightness_dark,clean,0.0008530754822044257,0.0008530754822044257,0.0,1.0,1.0,5
2,A,contrast_low,gaussian_noise,0.0005590770325268985,0.00045934373248030197,9.973330004659658e-05,1.0,1.0,4
2,B,contrast_low,clean,0.0005590770325268985,0.0005590770325268985,0.0,1.0,1.0,4
2,A,gaussian_noise,contrast_low,0.004031889030587279,0.0013871941527377413,0.0026446948778495374,0.9500000000000001,0.9,4
2,B,gaussian_noise,contrast_low,0.004031889030587279,0.0008775662157517743,0.0031543228148355044,1.0,0.9,4
2,A,gaussian_blur,gaussian_noise,0.0033512203457253783,0.002972865803463863,0.0003783545422615152,0.9500000000000001,0.9,3
2,B,gaussian_blur,gaussian_noise,0.0033512203457253783,0.0029918685474041914,0.0003593517983211869,0.9500000000000001,0.9,3
3,A,clean,gaussian_noise,0.0015224221668395895,0.0014162828367188106,0.0001061393301207789,1.0,1.0,2
3,B,clean,clean,0.0015224221668395895,0.0015224221668395895,0.0,1.0,1.0,2
3,A,brightness_dark,gaussian_noise,0.00043617337310336785,0.0003781030031880998,5.807036991526803e-05,1.0,1.0,5
3,B,brightness_dark,gaussian_noise,0.00043617337310336785,0.0003753294207038951,6.084395239947275e-05,1.0,1.0,5
3,A,contrast_low,clean,0.00021169402983490073,0.00021169402983490073,0.0,0.9500000000000001,0.9500000000000001,4
3,B,contrast_low,clean,0.00021169402983490073,0.00021169402983490073,0.0,0.9500000000000001,0.9500000000000001,4
3,A,gaussian_noise,gaussian_noise,0.0016959207087137206,0.0016920368705286898,3.883838185030812e-06,1.0,0.9,1
3,B,gaussian_noise,gaussian_noise,0.0016959207087137206,0.0016828442758593251,1.3076432854395442e-05,1.0,0.9,1
3,A,gaussian_blur,gaussian_noise,0.000988485293956068,0.0009639448741332182,2.454041982284975e-05,1.0,1.0,3
3,B,gaussian_blur,gaussian_noise,0.000988485293956068,0.0009677851067971567,2.0700187158911214e-05,1.0,1.0,3
4,A,clean,gaussian_noise,0.0031400412206739623,0.002985055999571662,0.00015498522110230038,0.9,0.9,2
4,B,clean,clean,0.0031400412206739623,0.0031400412206739623,0.0,0.9,0.9,2
4,A,brightness_dark,gaussian_noise,0.0005644035514434366,0.00046007067200386475,0.00010433287943957184,1.0,1.0,5
4,B,brightness_dark,gaussian_noise,0.0005644035514434366,0.0004636651315486076,0.00010073841989482899,1.0,1.0,5
4,A,contrast_low,gaussian_noise,0.0004259848265269541,0.00035256857288332627,7.341625364362783e-05,0.9500000000000001,0.9500000000000001,4
4,B,contrast_low,gaussian_noise,0.0004259848265269541,0.0003610006728070537,6.498415371990039e-05,0.9500000000000001,0.9500000000000001,4
4,A,gaussian_noise,clean,0.003546367096733249,0.003546367096733249,0.0,0.9500000000000001,0.9500000000000001,1
4,B,gaussian_noise,contrast_low,0.003546367096733249,0.0018632407650935037,0.0016831263316397452,1.0,0.9500000000000001,2
4,A,gaussian_blur,clean,0.0020957860060704867,0.0020957860060704867,0.0,1.0,1.0,3
4,B,gaussian_blur,gaussian_noise,0.0020957860060704867,0.0019178631055531547,0.000177922900517332,1.0,1.0,3
5,A,clean,gaussian_noise,0.0021584104969511095,0.002046548174343647,0.00011186232260746234,0.9500000000000001,0.9,2
5,B,clean,gaussian_noise,0.0021584104969511095,0.001992579598792709,0.00016583089815840057,0.9500000000000001,0.9,2
5,A,brightness_dark,gaussian_noise,0.0006005813110945981,0.00048591263484516083,0.00011466867624943726,1.0,1.0,5
5,B,brightness_dark,gaussian_noise,0.0006005813110945981,0.0004852586808918669,0.0001153226302027312,1.0,1.0,5
5,A,contrast_low,gaussian_noise,0.0002542048400161593,0.000221703381317039,3.250145869912029e-05,0.9500000000000001,0.9,4
5,B,contrast_low,clean,0.0002542048400161593,0.0002542048400161593,0.0,0.9,0.9,4
5,A,gaussian_noise,clean,0.0025826090253668974,0.0025826090253668974,0.0,0.9500000000000001,0.9500000000000001,1
5,B,gaussian_noise,clean,0.0025826090253668974,0.0025826090253668974,0.0,0.9500000000000001,0.9500000000000001,1
5,A,gaussian_blur,clean,0.0014851623292276434,0.0014851623292276434,0.0,0.9,0.9,3
5,B,gaussian_blur,clean,0.0014851623292276434,0.0014851623292276434,0.0,0.9,0.9,3
6,A,clean,gaussian_noise,0.002887376255623978,0.002591956028814911,0.000295420226809067,0.9,0.8500000000000001,2
6,B,clean,gaussian_noise,0.002887376255623978,0.0025474892047659256,0.00033988705085805223,0.9500000000000001,0.8500000000000001,2
6,A,brightness_dark,gaussian_noise,0.0006302395837690412,0.0005231119197965721,0.00010712766397246918,1.0,1.0,5
6,B,brightness_dark,clean,0.0006302395837690412,0.0006302395837690412,0.0,1.0,1.0,5
6,A,contrast_low,gaussian_noise,0.0003644053390651949,0.00030066295427845757,6.374238478673734e-05,1.0,0.9500000000000001,4
6,B,contrast_low,gaussian_noise,0.0003644053390651949,0.0003065385899771539,5.7866749088041004e-05,1.0,0.9500000000000001,4
6,A,gaussian_noise,clean,0.00318004511349799,0.00318004511349799,0.0,0.9,0.9,1
6,B,gaussian_noise,clean,0.00318004511349799,0.00318004511349799,0.0,0.9,0.9,1
