direction,target,batch,selected,macro_class,sample_weighted,macro_client
A_to_B,brightness_dark,0,brightness_dark,32.29653570328799,32.36252410399628,31.268558897347983
A_to_B,brightness_dark,1,brightness_dark,32.29653570328799,32.36252410399628,31.268558897347983
A_to_B,brightness_dark,2,brightness_dark,32.29653570328799,32.36252410399628,31.268558897347983
A_to_B,brightness_dark,3,brightness_dark,32.29653570328799,32.36252410399628,31.268558897347983
A_to_B,contrast_low,0,contrast_low,28.56147342050601,28.63887226544318,27.36103104812443
A_to_B,contrast_low,1,contrast_low,28.56147342050601,28.63887226544318,27.36103104812443
A_to_B,contrast_low,2,contrast_low,28.56147342050601,28.63887226544318,27.36103104812443
A_to_B,contrast_low,3,contrast_low,28.56147342050601,28.63887226544318,27.36103104812443
A_to_B,gaussian_noise,0,gaussian_noise,32.49955759017932,32.575304209056455,31.38728201450004
A_to_B,gaussian_noise,1,gaussian_noise,32.49955759017932,32.575304209056455,31.38728201450004
A_to_B,gaussian_noise,2,gaussian_noise,32.49955759017932,32.575304209056455,31.38728201450004
A_to_B,gaussian_noise,3,gaussian_noise,32.49955759017932,32.575304209056455,31.38728201450004
A_to_B,gaussian_blur,0,gaussian_blur,33.04849966816344,33.12055322827316,31.95070299851927
A_to_B,gaussian_blur,1,gaussian_blur,33.04849966816344,33.12055322827316,31.95070299851927
A_to_B,gaussian_blur,2,gaussian_blur,33.04849966816344,33.12055322827316,31.95070299851927
A_to_B,gaussian_blur,3,gaussian_blur,33.04849966816344,33.12055322827316,31.95070299851927
B_to_A,brightness_dark,0,brightness_dark,32.424807666744606,32.48886229137575,31.338011257580153
B_to_A,brightness_dark,1,brightness_dark,32.424807666744606,32.48886229137575,31.338011257580153
B_to_A,brightness_dark,2,brightness_dark,32.424807666744606,32.48886229137575,31.338011257580153
B_to_A,brightness_dark,3,brightness_dark,32.424807666744606,32.48886229137575,31.338011257580153
B_to_A,contrast_low,0,contrast_low,28.1116255098242,28.186714542190305,26.830967308656785
B_to_A,contrast_low,1,contrast_low,28.1116255098242,28.186714542190305,26.830967308656785
B_to_A,contrast_low,2,contrast_low,28.1116255098242,28.186714542190305,26.830967308656785
B_to_A,contrast_low,3,contrast_low,28.1116255098242,28.186714542190305,26.830967308656785
B_to_A,gaussian_noise,0,gaussian_noise,32.40677112345037,32.482212913092624,31.267717362254558
B_to_A,gaussian_noise,1,gaussian_noise,32.40677112345037,32.482212913092624,31.267717362254558
B_to_A,gaussian_noise,2,gaussian_noise,32.40677112345037,32.482212913092624,31.267717362254558
B_to_A,gaussian_noise,3,gaussian_noise,32.40677112345037,32.482212913092624,31.267717362254558
B_to_A,gaussian_blur,0,gaussian_blur,33.009919087373774,33.08065695857437,31.880620101541194
B_to_A,gaussian_blur,1,gaussian_blur,33.009919087373774,33.08065695857437,31.880620101541194
B_to_A,gaussian_blur,2,gaussian_blur,33.009919087373774,33.08065695857437,31.880620101541194
B_to_A,gaussian_blur,3,gaussian_blur,33.009919087373774,33.08065695857437,31.880620101541194
