client,bank,K,primary,true_context,selected,second,distance,second_distance,margin,signed_true_margin,d_clean,d_brightness_dark,d_contrast_low,d_gaussian_noise,d_gaussian_blur
0,A,20,True,clean,clean,gaussian_noise,6.451703363289342,20.874696179048282,14.42299281575894,14.42299281575894,6.451703363289342,287.05390747391885,97.08131163925148,20.874696179048282,27.785360476987524
0,B,20,True,clean,clean,gaussian_noise,5.772102090441718,23.004428679461775,17.232326589020055,17.232326589020055,5.772102090441718,292.9690305859743,101.5470599545179,23.004428679461775,30.127066705576087
0,A,20,True,brightness_dark,brightness_dark,contrast_low,3.0426466780947625,186.49061161227172,183.44796493417695,183.44796493417695,289.7686342312338,3.0426466780947625,186.49061161227172,334.8827764579727,245.76261912049878
0,B,20,True,brightness_dark,brightness_dark,contrast_low,2.4954156072740457,196.15500353412105,193.659587926847,193.659587926847,289.8022787782696,2.4954156072740457,196.15500353412105,339.3325713242362,244.52516097892754
0,A,20,True,contrast_low,contrast_low,gaussian_blur,5.78639316743581,53.324137410876546,47.537744243440734,47.537744243440734,115.7570914845027,177.084639506561,5.78639316743581,186.45551631829198,53.324137410876546
0,B,20,True,contrast_low,contrast_low,gaussian_blur,8.182239078539652,50.844283092448215,42.66204401390856,42.66204401390856,115.81774853465166,174.98672813491464,8.182239078539652,189.24035334574143,50.844283092448215
0,A,20,True,gaussian_noise,gaussian_noise,clean,5.759942714234875,31.074282466813337,25.314339752578462,25.314339752578462,31.074282466813337,335.58583975219824,168.64845259221087,5.759942714234875,79.42429245760574
0,B,20,True,gaussian_noise,gaussian_noise,clean,6.444712541363252,32.17400200407739,25.729289462714135,25.729289462714135,32.17400200407739,347.4916982545277,177.4869040815901,6.444712541363252,85.99352987220821
0,A,20,True,gaussian_blur,gaussian_blur,clean,4.053806675701976,19.390449676139767,15.33664300043779,15.33664300043779,19.390449676139767,238.9925634174411,36.530837991762496,64.31340369947435,4.053806675701976
0,B,20,True,gaussian_blur,gaussian_blur,clean,3.664576096971701,19.38891042874617,15.724334331774468,15.724334331774468,19.38891042874617,240.85146349085255,38.01660858843118,65.91722738620814,3.664576096971701
1,A,20,True,clean,clean,gaussian_noise,3.0576254545026824,15.576811878964925,12.519186424462243,12.519186424462243,3.0576254545026824,297.883380564248,98.67101544751677,15.576811878964925,26.76741904964691
1,B,20,True,clean,clean,gaussian_noise,3.110563674659054,17.91709638069713,14.806532706038077,14.806532706038077,3.110563674659054,304.5241719436148,104.4863079897431,17.91709638069713,31.0357509823908
1,A,20,True,brightness_dark,brightness_dark,contrast_low,1.4085192160218316,191.00947192739818,189.60095271137635,189.60095271137635,297.1123901147682,1.4085192160218316,191.00947192739818,342.14731301179415,252.56603377762087
1,B,20,True,brightness_dark,brightness_dark,contrast_low,1.3639538647953526,202.1314725721175,200.76751870732215,200.76751870732215,297.87363884214227,1.3639538647953526,202.1314725721175,347.10474654019674,252.2291676515988
1,A,20,True,contrast_low,contrast_low,gaussian_blur,4.398543885643912,50.31008882787198,45.91154494222807,45.91154494222807,112.89892865744173,187.86004104619832,4.398543885643912,184.50464597094373,50.31008882787198
1,B,20,True,contrast_low,contrast_low,gaussian_blur,7.933294006569335,48.44157716246185,40.508283155892514,40.508283155892514,113.73745836998219,185.88854943118827,7.933294006569335,188.0417494033703,48.44157716246185
1,A,20,True,gaussian_noise,gaussian_noise,clean,2.223818823936625,29.0841339521362,26.860315128199574,26.860315128199574,29.0841339521362,352.7099160684654,174.07056676671277,2.223818823936625,79.9179305999513
