pool,old_layer2_worst_scale,new_identity_scale,old_max_abs_gamma,new_max_abs_gamma,old_max_clean_logit_diff,new_max_clean_logit_diff,old_changed_predictions,new_changed_predictions,old_accuracy_delta,new_accuracy_delta
A,0.3239254355430603,1.0,0.6760745644569397,0.0,0.006222248077392578,0.0,1,0,0.0,0.0
B,0.4693797826766968,1.0,0.5306202173233032,0.0,0.0048749446868896484,0.0,1,0,0.0,0.0
