client,bank,target,alpha,prediction_key,reused_key,query_accuracy,class_total,class_correct,source_J,source_C,source_agreement,DeltaAcc_vs_alpha0
0,A,contrast_low,1.5,A|contrast_low|1.5|c0,,19.662921348314608,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 4, 6, 0, 0]",22.78469142747484,0.002759333293081959,0.8500000000000001,14.606741573033709
0,B,contrast_low,0.0,B|contrast_low|0.0|c0,r21,5.056179775280898,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 3, 0, 0, 0, 0, 6, 0, 0, 0]",115.81774853465166,0.0005046057995641696,0.9,0.0
0,B,contrast_low,0.25,B|contrast_low|0.25|c0,,7.865168539325842,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 7, 0, 0, 0, 0, 7, 0, 0, 0]",73.26290698530136,0.0007314752338250714,1.0,2.808988764044944
0,B,contrast_low,0.5,B|contrast_low|0.5|c0,,13.48314606741573,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 16, 0, 0, 0, 0, 7, 1, 0, 0]",44.92870453082186,0.0010185771184204003,0.9500000000000001,8.426966292134832
0,B,contrast_low,0.75,B|contrast_low|0.75|c0,,17.415730337078653,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 20, 0, 0, 0, 0, 7, 4, 0, 0]",27.446728709254522,0.0013550994482140082,0.9500000000000001,12.359550561797754
0,B,contrast_low,1.0,B|contrast_low|1.0|c0,r23,20.224719101123593,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 6, 5, 0, 0]",19.133474385434965,0.0017452904452301265,0.9500000000000001,15.168539325842694
0,B,contrast_low,1.25,B|contrast_low|1.25|c0,,20.786516853932586,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 5, 7, 0, 0]",19.04009895958181,0.0022217535675150245,0.9,15.730337078651687
0,B,contrast_low,1.5,B|contrast_low|1.5|c0,,20.786516853932586,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 26, 0, 0, 0, 0, 4, 7, 0, 0]",26.360412736739264,0.0027963216112384805,0.9500000000000001,15.730337078651687
0,A,gaussian_noise,0.0,A|gaussian_noise|0.0|c0,r28,26.40449438202247,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 26, 0, 0, 0, 0, 7, 14, 0, 0]",31.074282466813337,0.004056826434371993,0.8,0.0
0,A,gaussian_noise,0.25,A|gaussian_noise|0.25|c0,,26.40449438202247,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 7, 15, 0, 0]",21.030322726590487,0.00407257382064703,0.9500000000000001,0.0
0,A,gaussian_noise,0.5,A|gaussian_noise|0.5|c0,,26.40449438202247,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 7, 15, 0, 0]",13.303309991495563,0.004066477707518154,0.8500000000000001,0.0
0,A,gaussian_noise,0.75,A|gaussian_noise|0.75|c0,,26.40449438202247,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 24, 0, 0, 0, 0, 7, 16, 0, 0]",8.392901360947612,0.00404447962568196,0.7000000000000001,0.0
0,A,gaussian_noise,1.0,A|gaussian_noise|1.0|c0,r30,26.40449438202247,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 24, 0, 0, 0, 0, 7, 16, 0, 0]",6.851820819238567,0.004006378096088044,0.8500000000000001,0.0
0,A,gaussian_noise,1.25,A|gaussian_noise|1.25|c0,,27.52808988764045,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 24, 0, 0, 0, 0, 7, 18, 0, 0]",9.478356306086082,0.003925628042130268,0.75,1.1235955056179812
0,A,gaussian_noise,1.5,A|gaussian_noise|1.5|c0,,25.280898876404496,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 21, 0, 0, 0, 0, 7, 17, 0, 0]",17.53508752490359,0.0038049032187127472,0.8500000000000001,-1.123595505617974
0,B,gaussian_noise,0.0,B|gaussian_noise|0.0|c0,r35,26.40449438202247,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 26, 0, 0, 0, 0, 7, 14, 0, 0]",32.17400200407739,0.004056826434371993,0.8,0.0
0,B,gaussian_noise,0.25,B|gaussian_noise|0.25|c0,,26.40449438202247,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 7, 15, 0, 0]",21.74161185474586,0.004052069086387293,0.9500000000000001,0.0
0,B,gaussian_noise,0.5,B|gaussian_noise|0.5|c0,,26.40449438202247,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 7, 15, 0, 0]",13.640463378114477,0.004027547409211452,0.9,0.0
0,B,gaussian_noise,0.75,B|gaussian_noise|0.75|c0,,26.40449438202247,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 24, 0, 0, 0, 0, 7, 16, 0, 0]",8.376066308292385,0.003988017039210696,0.8,0.0
0,B,gaussian_noise,1.0,B|gaussian_noise|1.0|c0,r37,26.40449438202247,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 24, 0, 0, 0, 0, 7, 16, 0, 0]",6.529240615149846,0.003931796436565981,0.8500000000000001,0.0
0,B,gaussian_noise,1.25,B|gaussian_noise|1.25|c0,,26.96629213483146,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 24, 0, 0, 0, 0, 7, 17, 0, 0]",8.915455612643688,0.0038425286675905623,0.8,0.5617977528089888
0,B,gaussian_noise,1.5,B|gaussian_noise|1.5|c0,,25.280898876404496,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 21, 0, 0, 0, 0, 7, 17, 0, 0]",16.9065345952261,0.0037162125192439104,0.8,-1.123595505617974
0,A,gaussian_blur,0.0,A|gaussian_blur|0.0|c0,r42,25.280898876404496,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 19, 0, 0, 0, 0, 7, 19, 0, 0]",19.390449676139767,0.003045535234900457,0.9,0.0
0,A,gaussian_blur,0.25,A|gaussian_blur|0.25|c0,,26.96629213483146,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 20, 0, 0, 0, 0, 7, 21, 0, 0]",13.4716472570878,0.003296261135205208,0.8500000000000001,1.6853932584269629
0,A,gaussian_blur,0.5,A|gaussian_blur|0.5|c0,,28.08988764044944,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 21, 0, 0, 0, 0, 7, 22, 0, 0]",9.472320867024935,0.0035368478001038574,0.8500000000000001,2.808988764044944
0,A,gaussian_blur,0.75,A|gaussian_blur|0.75|c0,,30.89887640449438,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 7, 23, 0, 0]",7.510140550716406,0.003780181544635586,0.9,5.6179775280898845
0,A,gaussian_blur,1.0,A|gaussian_blur|1.0|c0,r44,30.89887640449438,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 7, 23, 0, 0]",7.525212705910985,0.004031966933715906,0.8,5.6179775280898845
0,A,gaussian_blur,1.25,A|gaussian_blur|1.25|c0,,32.58426966292135,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 25, 0, 0, 0, 0, 7, 26, 0, 0]",9.464843908582909,0.004293150020064174,0.9,7.3033707865168545
0,A,gaussian_blur,1.5,A|gaussian_blur|1.5|c0,,34.26966292134831,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 26, 0, 0, 0, 0, 6, 29, 0, 0]",13.290728637600768,0.004565995246909519,0.8500000000000001,8.988764044943817
0,B,gaussian_blur,0.0,B|gaussian_blur|0.0|c0,r49,25.280898876404496,"[0, 27, 0, 0, 1, 0, 9, 141, 0, 0]","[0, 19, 0, 0, 0, 0, 7, 19, 0, 0]",19.38891042874617,0.003045535234900457,0.9,0.0
