client,bank,context,pi,iterations,updates,trace,converged,cap_hit,direct_KKT,sum_error,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE
0,A,clean,"[0.0, 0.11721363852872702, 0.0, 0.14768433747702714, 0.0, 0.0, 0.2095900643673427, 0.47696329536192983, 0.0, 0.048548664264973326]",2,2,"[{'active': [3, 7, 9], 'minimum': 0.1938204360876232, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.12294445455450559, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.048548664264973326, 'action': 'accept'}]",True,False,1.7943545954635098e-17,0.0,0.0002013599839589783,0.0025883625389112003,5,0,0.9438198221385115,True
0,A,brightness_dark,"[0.0, 0.0644890738110947, 0.0, 0.2868739522909985, 0.0, 0.0, 0.09390717457991908, 0.4888544344884992, 0.0, 0.06587536482948858]",2,2,"[{'active': [3, 7, 9], 'minimum': 0.14197764007103003, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.10062257817057225, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.0644890738110947, 'action': 'accept'}]",True,False,2.2442984970449942e-17,0.0,0.0003009915643457778,0.0017776251014162499,5,0,0.39417175890777373,True
0,A,contrast_low,"[0.0, 0.1854904789172436, 0.0, 0.15698167812056454, 0.0, 0.0, 0.3171787810611875, 0.2996654890504528, 0.0, 0.04068357285055146]",4,4,"[{'active': [6, 7, 9], 'minimum': 0.26817025598384303, 'action': 'add', 'coordinate': 1}, {'active': [1, 6, 7, 9], 'minimum': 0.09875908386589433, 'action': 'add', 'coordinate': 5}, {'active': [1, 5, 6, 7, 9], 'minimum': 0.10852207833150788, 'action': 'add', 'coordinate': 3}, {'active': [1, 3, 5, 6, 7, 9], 'minimum': -0.03220169180685853, 'action': 'remove', 'coordinate': 5}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.04068357285055146, 'action': 'accept'}]",True,False,4.185020385794047e-17,0.0,0.00026979829522233624,0.0017430803613375507,5,0,0.920549061249318,True
0,A,gaussian_noise,"[0.0, 0.0, 0.0, 0.03861302234612218, 0.0, 0.0, 0.25392865808724285, 0.4857902880028665, 0.0, 0.2216680315637684]",0,0,"[{'active': [3, 6, 7, 9], 'minimum': 0.03861302234612218, 'action': 'accept'}]",True,False,1.6506978076091805e-17,0.0,0.00012405872935599232,0.0036298420669190197,4,0,0.6874778746549753,True
0,A,gaussian_blur,"[0.0, 0.1903391889628427, 0.0, 0.0711816418666414, 0.0, 0.0, 0.2292986275238251, 0.4654782301418324, 0.0, 0.04370231150485841]",1,1,"[{'active': [3, 6, 7, 9], 'minimum': 0.03082909663535008, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.04370231150485841, 'action': 'accept'}]",True,False,1.1133401058710524e-17,0.0,0.00016202449819224547,0.002364319253471716,5,0,0.9862298534164725,True
0,B,clean,"[0.0, 0.11721363852872702, 0.0, 0.14768433747702714, 0.0, 0.0, 0.2095900643673427, 0.47696329536192983, 0.0, 0.048548664264973326]",2,2,"[{'active': [3, 7, 9], 'minimum': 0.1938204360876232, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.12294445455450559, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.048548664264973326, 'action': 'accept'}]",True,False,1.7943545954635098e-17,0.0,0.0002013599839589783,0.0025883625389112003,5,0,0.9438198221385115,True
0,B,brightness_dark,"[0.0, 0.064029858197161, 0.0, 0.2842154936287402, 0.0, 0.0, 0.09554391510921316, 0.49102562710287384, 0.0, 0.06518510596201177]",2,2,"[{'active': [3, 7, 9], 'minimum': 0.1407960113718211, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.1020714964676716, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.064029858197161, 'action': 'accept'}]",True,False,6.028164079019405e-17,0.0,0.0003023761926351362,0.0017546068474456002,5,0,0.38814806728451967,True
0,B,contrast_low,"[0.0, 0.17890911399578208, 0.0, 0.16689758096617585, 0.0, 0.0, 0.3150023083553194, 0.2964668318460859, 0.0, 0.04272416483663677]",4,4,"[{'active': [6, 7, 9], 'minimum': 0.2625780477324373, 'action': 'add', 'coordinate': 5}, {'active': [5, 6, 7, 9], 'minimum': 0.14525157071612543, 'action': 'add', 'coordinate': 1}, {'active': [1, 5, 6, 7, 9], 'minimum': 0.11689475015723776, 'action': 'add', 'coordinate': 3}, {'active': [1, 3, 5, 6, 7, 9], 'minimum': -0.15013094411232655, 'action': 'remove', 'coordinate': 5}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.04272416483663677, 'action': 'accept'}]",True,False,2.47198095326695e-17,0.0,0.00028081903295163694,0.0020127466141488565,5,0,0.910030732723972,True
0,B,gaussian_noise,"[0.0, 0.0, 0.0, 0.03559187250920953, 0.0, 0.0, 0.2593874854647357, 0.48634812532115856, 0.0, 0.21867251670489615]",0,0,"[{'active': [3, 6, 7, 9], 'minimum': 0.03559187250920953, 'action': 'accept'}]",True,False,1.8126505071242027e-17,0.0,0.00011935769718294147,0.003484171530411017,4,0,0.6910217941944041,True
0,B,gaussian_blur,"[0.0, 0.19586876229039657, 0.0, 0.06825712423271892, 0.0, 0.0, 0.22604985538353323, 0.46736732633663625, 0.0, 0.042456931756715006]",1,1,"[{'active': [3, 6, 7, 9], 'minimum': 0.027499244773891485, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.042456931756715006, 'action': 'accept'}]",True,False,1.802486111757151e-17,0.0,0.0001611131092887103,0.0025915877042240643,5,0,0.9973947475069941,True
