client,bank,context,salt,train_half,BER128,BER256,point_state,agreement,mean_utility128,mean_utility256,max_mean_utility_difference,vote128,vote256,max_vote_frequency_difference,p_mode,vote_entropy,point_bootstrap_expected_regret,BER_bootstrap_expected_regret,top_mean_utility_margin,BER_replica_optimal_fraction,BER_minus_point_utility_p10,BER_minus_point_utility_median,BER_minus_point_utility_p90
0,A,clean,T013-S0,0,1,1,1,True,"[0.0, 0.006034256765521022, -0.08102784982439852, -0.008493542382075182, -0.0022533945870161116]","[0.0, 0.006294563007552914, -0.07883748569497195, -0.009284087738284772, -0.000326344983281353]",0.00219036412942657,"[0.203125, 0.5078125, 0.0, 0.0234375, 0.265625]","[0.203125, 0.4765625, 0.0, 0.015625, 0.3046875]",0.0390625,0.4765625,1.104069214987534,0.018191346300398172,0.018191346300398172,0.006294563007552914,0.4765625,0.0,0.0,0.0
0,A,clean,T013-S0,1,4,4,4,True,"[0.0, -0.00019582044345856827, -0.0988848851113502, -0.01563303862507044, 0.0011213957236004927]","[0.0, -0.00026267965641584587, -0.09782266094275406, -0.016845446355405143, 0.0027726982795228568]",0.0016513025559223638,"[0.2109375, 0.4453125, 0.0, 0.0234375, 0.3203125]","[0.2109375, 0.40234375, 0.0, 0.0234375, 0.36328125]",0.04296875,0.40234375,1.1503941086172795,0.018189846956610318,0.018189846956610318,0.0027726982795228568,0.36328125,0.0,0.0,0.0
0,A,clean,T013-S1,0,1,1,1,True,"[0.0, 0.002350971784630116, -0.09933791188288361, -0.009600242594930227, -0.006526118643926176]","[0.0, 0.00240450727056147, -0.09826989723659739, -0.010544839575840341, -0.0050213312360820606]",0.0015047874078441155,"[0.21875, 0.484375, 0.0, 0.046875, 0.25]","[0.23046875, 0.453125, 0.0, 0.03515625, 0.28125]",0.03125,0.453125,1.1714034088391028,0.016942228761252065,0.016942228761252065,0.00240450727056147,0.453125,0.0,0.0,0.0
0,A,clean,T013-S1,1,4,4,4,True,"[0.0, 0.0033287773513941622, -0.08077772214209211, -0.014541524123058843, 0.005196521323012735]","[0.0, 0.0034682969242039404, -0.07860473838230236, -0.015595937744580079, 0.007261819116901267]",0.0021729837597897566,"[0.1875, 0.4609375, 0.0078125, 0.015625, 0.328125]","[0.1875, 0.4140625, 0.00390625, 0.01171875, 0.3828125]",0.0546875,0.4140625,1.1203147793421473,0.01900355511665976,0.01900355511665976,0.0037935221926973265,0.3828125,0.0,0.0,0.0
0,A,clean,T013-S2,0,1,1,1,True,"[0.0, 0.003292763247423716, -0.0910808670597685, -0.01386775225897923, -0.00598348815707477]","[0.0, 0.003149207435457999, -0.08951268789926531, -0.01494999618656022, -0.0044670962040568975]",0.001568179160503203,"[0.21875, 0.515625, 0.0, 0.0234375, 0.2421875]","[0.2265625, 0.47265625, 0.0, 0.015625, 0.28515625]",0.04296875,0.47265625,1.1133607754279604,0.01881812887216118,0.01881812887216118,0.003149207435457999,0.47265625,0.0,0.0,0.0
0,A,clean,T013-S2,1,4,4,4,True,"[0.0, 0.0024471016025616405, -0.0886752240652406, -0.010241530886929808, 0.004655969262371193]","[0.0, 0.0027786620310310205, -0.0869818116477998, -0.011165721397911487, 0.006718754217688073]",0.0020627849553168797,"[0.15625, 0.4140625, 0.0, 0.0625, 0.3671875]","[0.16015625, 0.39453125, 0.0, 0.04296875, 0.40234375]",0.03515625,0.40234375,1.16182759790035,0.016944401871641684,0.016944401871641684,0.003940092186657053,0.40234375,0.0,0.0,0.0
0,A,clean,T013-S3,0,4,4,4,True,"[0.0, 0.005773855899137349, -0.07701652840083502, -0.012744773850209286, 0.005791009092943304]","[0.0, 0.005716620667497129, -0.07520867684444023, -0.013914885433568842, 0.007615278206276269]",0.0018242691133329657,"[0.140625, 0.4921875, 0.0078125, 0.0234375, 0.3359375]","[0.1328125, 0.453125, 0.00390625, 0.01953125, 0.390625]",0.0546875,0.453125,1.0925331938300802,0.017949466293960794,0.017949466293960794,0.0018986575387791404,0.390625,0.0,0.0,0.0
0,A,clean,T013-S3,1,1,1,1,True,"[0.0, 0.00010403030921783385, -0.10270286505764062, -0.011391566953675611, -0.006940584400132306]","[0.0, 0.00036227682146116566, -0.1012528329900983, -0.012222576630837301, -0.005182392047756182]",0.0017581923523761246,"[0.265625, 0.453125, 0.0, 0.03125, 0.25]","[0.265625, 0.4296875, 0.0, 0.01953125, 0.28515625]",0.03515625,0.4296875,1.149747393873531,0.020134849538204377,0.020134849538204377,0.00036227682146116566,0.4296875,0.0,0.0,0.0
0,A,brightness_dark,T013-S0,0,1,1,1,True,"[0.0, 0.14759519226000775, 0.06579947824075391, -0.026137106767803647, 0.05448097044329805]","[0.0, 0.15171703836709435, 0.06493256962481489, -0.028470256674046648, 0.05557540476210543]",0.004121846107086598,"[0.0, 0.9375, 0.0546875, 0.0078125, 0.0]","[0.0, 0.95703125, 0.0390625, 0.00390625, 0.0]",0.01953125,0.95703125,0.19035669247409934,0.0009400230265055676,0.0009400230265055676,0.08678446874227945,0.95703125,0.0,0.0,0.0
0,A,brightness_dark,T013-S0,1,1,1,1,True,"[0.0, 0.15021193099520533, 0.06581789456277512, -0.02688604916336416, 0.051799305926987886]","[0.0, 0.15396740665190084, 0.06489708344712865, -0.029062855594692256, 0.052647418013349365]",0.0037554756566955147,"[0.0, 0.9453125, 0.046875, 0.0078125, 0.0]","[0.0, 0.953125, 0.04296875, 0.00390625, 0.0]",0.0078125,0.953125,0.20265441724392447,0.0011235994015984102,0.0011235994015984102,0.08907032320477219,0.953125,0.0,0.0,0.0
