method,context,support_seed,lr,steps,checkpoint_sha256,source_tensor_sha256,baseline_accuracy,query_loss_before,gain_pp,accuracy,loss,worst_class_accuracy,gamma_norm,beta_norm,support_loss_trajectory,prediction_key,support_loss_before,support_loss_after
none,none,0,0.0,0,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.0441701412200928,18.65079402923584,0.0,0.0,,r0000,,
random_no_write,random,11,0.0,0,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.09999871253967285,41.53333306312561,2.0442070960998535,17.85714328289032,0.14638853073120117,0.1419590413570404,,r0001,2.472599983215332,2.473733901977539
bn,correct,11,0.0,0,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,2.933335304260254,44.56666707992554,2.7019436359405518,15.47619104385376,0.0,0.0,,r0002,2.472599983215332,3.6051621437072754
prior,correct,11,0.0,0,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.3999978303909302,41.23333394527435,2.0500497817993164,17.85714328289032,0.0,0.0,,r0003,2.472599983215332,2.465639114379883
affine,correct,11,0.001,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.03333389759063721,41.66666567325592,2.0436949729919434,18.65079402923584,0.0006038052379153669,0.0007719697896391153,,r0004,2.472599983215332,2.4716408252716064
affine,correct,11,0.001,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.13333559036254883,41.76666736602783,2.042747974395752,18.65079402923584,0.0018087968928739429,0.0023097742814570665,,r0005,2.472599983215332,2.4697341918945312
affine,correct,11,0.001,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.13333559036254883,41.76666736602783,2.0418097972869873,18.65079402923584,0.003010188229382038,0.003839034354314208,,r0006,2.472599983215332,2.4678452014923096
affine,correct,11,0.001,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.23333430290222168,41.866666078567505,2.039496898651123,19.04762089252472,0.005996132269501686,0.007623097859323025,,r0007,2.472599983215332,2.4632039070129395
affine,correct,11,0.01,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.20000040531158447,41.83333218097687,2.0395023822784424,19.04762089252472,0.006038052029907703,0.007719697430729866,,r0008,2.472599983215332,2.46311092376709
affine,correct,11,0.01,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.06666779518127441,41.69999957084656,2.0306620597839355,18.25396865606308,0.01781383343040943,0.022450296208262444,,r0009,2.472599983215332,2.4454524517059326
affine,correct,11,0.01,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.2666682004928589,41.89999997615814,2.022266387939453,18.65079402923584,0.02928384579718113,0.0366070531308651,,r0010,2.472599983215332,2.42893123626709
affine,correct,11,0.01,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.40000081062316895,42.03333258628845,2.0027413368225098,18.25396865606308,0.056698139756917953,0.06980922818183899,,r0011,2.472599983215332,2.3918066024780273
affine,correct,11,0.1,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.46666860580444336,42.10000038146973,2.0057027339935303,17.46031790971756,0.060380518436431885,0.07719697803258896,,r0012,2.472599983215332,2.3873634338378906
affine,correct,11,0.1,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.933334231376648,42.56666600704193,1.936586856842041,19.44444626569748,0.15997418761253357,0.19123828411102295,,r0013,2.472599983215332,2.2715907096862793
affine,correct,11,0.1,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,1.3000011444091797,42.93333292007446,1.8869093656539917,20.63492238521576,0.2465701848268509,0.2857148349285126,,r0014,2.472599983215332,2.1889991760253906
affine,correct,11,0.1,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,1.900002360343933,43.533334136009216,1.8087029457092285,23.01587462425232,0.42666569352149963,0.4673555791378021,,r0015,2.472599983215332,2.0520472526550293
bn,wrong_MNIST,11,0.0,0,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-5.233332514762878,36.399999260902405,2.4659318923950195,11.50793731212616,0.0,0.0,,r0016,0.0022375190164893866,0.0036758489441126585
prior,wrong_MNIST,11,0.0,0,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.3999978303909302,41.23333394527435,2.0500497817993164,17.85714328289032,0.0,0.0,,r0017,0.0022375190164893866,0.002221976174041629
affine,wrong_MNIST,11,0.001,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.0441741943359375,18.65079402923584,8.157651791407261e-06,9.767873052624054e-06,,r0018,0.0022375190164893866,0.002237356035038829
affine,wrong_MNIST,11,0.001,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.044182062149048,18.65079402923584,2.4469371055602096e-05,2.9299086236278526e-05,,r0019,0.0022375190164893866,0.002237033098936081
affine,wrong_MNIST,11,0.001,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.0441904067993164,18.65079402923584,4.077396442880854e-05,4.881708446191624e-05,,r0020,0.0022375190164893866,0.0022367103956639767
affine,wrong_MNIST,11,0.001,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.04421067237854,18.65079402923584,8.151925430865958e-05,9.758075611898676e-05,,r0021,0.0022375190164893866,0.0022359020076692104
affine,wrong_MNIST,11,0.01,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.044210910797119,18.65079402923584,8.157650881912559e-05,9.767871961230412e-05,,r0022,0.0022375190164893866,0.0022358992137014866
affine,wrong_MNIST,11,0.01,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.03333389759063721,41.66666567325592,2.0442922115325928,18.65079402923584,0.00024436769308522344,0.0002924926520790905,,r0023,0.0022375190164893866,0.002232681028544903
affine,wrong_MNIST,11,0.01,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.13333559036254883,41.76666736602783,2.0443735122680664,18.65079402923584,0.00040671598981134593,0.00048697483725845814,,r0024,0.0022375190164893866,0.0022294719237834215
affine,wrong_MNIST,11,0.01,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.10000169277191162,41.733333468437195,2.044577121734619,18.65079402923584,0.0008111950592137873,0.000971180503256619,,r0025,0.0022375190164893866,0.0022215167991816998
affine,wrong_MNIST,11,0.1,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.10000169277191162,41.733333468437195,2.0445783138275146,18.65079402923584,0.0008157651172950864,0.0009767872979864478,,r0026,0.0022375190164893866,0.0022214248310774565
affine,wrong_MNIST,11,0.1,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.10000169277191162,41.733333468437195,2.045396089553833,18.65079402923584,0.002416345290839672,0.0028925188817083836,,r0027,0.0022375190164893866,0.0021904679015278816
affine,wrong_MNIST,11,0.1,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.16666650772094727,41.79999828338623,2.046213150024414,19.04762089252472,0.003978618420660496,0.0047590406611561775,,r0028,0.0022375190164893866,0.0021610003896057606
affine,wrong_MNIST,11,0.1,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.10000169277191162,41.733333468437195,2.048302173614502,19.04762089252472,0.007748190313577652,0.009287049993872643,,r0029,0.0022375190164893866,0.002091755857691169
bn,wrong_USPS,11,0.0,0,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-3.166666626930237,38.466665148735046,3.2260868549346924,12.69841343164444,0.0,0.0,,r0030,0.0009361339616589248,0.0004025274538435042
prior,wrong_USPS,11,0.0,0,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.3999978303909302,41.23333394527435,2.0500497817993164,17.85714328289032,0.0,0.0,,r0031,0.0009361339616589248,0.0008832078310661018
affine,wrong_USPS,11,0.001,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.0,41.63333177566528,2.0441696643829346,18.65079402923584,2.592366399767343e-06,3.903924607584486e-06,,r0032,0.0009361339616589248,0.0009361112024635077
