K,bank,context,L1_mean,L1_median,L1_p05,L1_p95,JS_mean,JS_median,JS_p05,JS_p95,projection_L1_mean,projection_L1_median,projection_L1_p05,projection_L1_p95,dominant_class_agreement,negative_entry_fraction
20,A,clean,0.6662606280102562,0.6,0.0705387863519025,1.4910448191720338,0.1525324553673277,0.12013578838455868,0.004407744629332601,0.40672755598166127,1.1533939476774564,1.0475995087812504,0.3657715139763659,2.293598605468692,0.729765625,0.42796874999999995
20,A,brightness_dark,0.7439110408151002,0.6735664358743543,0.0989724907465538,1.660345177731456,0.17915977424847554,0.1411564588516665,0.009541746949363555,0.4896583578254557,1.4577605464834915,1.3219068063396398,0.48070860388369574,2.9255153908390503,0.680703125,0.42967187500000004
20,A,contrast_low,0.7780921176075631,0.7121600005454015,0.10000000000000005,1.7000000000000002,0.19005127946437728,0.15328952602342694,0.013023216188357518,0.5168985264947997,1.5620553093803542,1.4367113502722901,0.5326175039597959,3.006831688814136,0.66375,0.42990625
20,A,gaussian_noise,0.6935522378339766,0.6185059387331786,0.061329116846012874,1.5763263045734304,0.16259662046619297,0.12806114159811288,0.00392224129892112,0.4496773691159629,1.258840825664439,1.1481347837178353,0.4070568363389802,2.490866127827601,0.711328125,0.4316640625
20,A,gaussian_blur,0.6765032719923364,0.6020925349784019,0.07826062771401247,1.5146760097816028,0.15652634587280598,0.12480561710088528,0.005482892400885002,0.42031111851937003,1.1896708684859074,1.0796118513193655,0.38787779217775425,2.364085868817689,0.73,0.42946093750000003
20,B,clean,0.6686991760447307,0.6000000000000001,0.06362182300826641,1.4915969246525154,0.15421750045144794,0.12154855759283495,0.004260069513119308,0.412494842487303,1.1526956186417094,1.0348600656786244,0.36725292457806374,2.3317965824986593,0.730546875,0.42639843749999995
20,B,brightness_dark,0.7509471854698749,0.6863549528850701,0.09999999999999994,1.6630441710695314,0.18130674378446926,0.14342986451640993,0.009451206815742099,0.4906115682308457,1.4791829685932276,1.3332660848202669,0.5010005482890199,2.957458175708995,0.67671875,0.43121875000000004
20,B,contrast_low,0.7908363297116443,0.729768864805138,0.10000000000000005,1.724545919522924,0.19492127934472772,0.1565510869771266,0.012863588995696144,0.5280112405751409,1.6546364168245822,1.5162082470789158,0.5919945259364129,3.2181519093565516,0.65765625,0.43442187499999996
20,B,gaussian_noise,0.6956633137644775,0.6211502245044085,0.07196098728614192,1.5655482182996499,0.16282871434986781,0.12838584352948607,0.005631176281371561,0.4437529877841093,1.240336225893861,1.1311640695088572,0.3964585515283483,2.472013968227426,0.713359375,0.4297734375
20,B,gaussian_blur,0.6765125083089591,0.6000000000000001,0.07154175282261832,1.5,0.1567345880667279,0.1250941579266397,0.0054911844832518375,0.41799453724565105,1.19216515583277,1.0996577717255882,0.39656557790311925,2.317967653085481,0.725703125,0.43067968749999996
40,A,clean,0.5145235770710285,0.4659020518995589,0.04730120004475712,1.1591176052438141,0.10818567337971316,0.08740119979741418,0.00218734344420318,0.28686899741203625,0.7955141400379389,0.7250512001330656,0.2387207718598095,1.603484704002499,0.82765625,0.4091796875
40,A,brightness_dark,0.5745994712754032,0.5046267591114317,0.06051511936549233,1.2992043503647877,0.12647843837176023,0.10030989033529303,0.004261098012969376,0.3337829361109587,1.0066919639701306,0.9193301899128189,0.31443390930748927,1.996827058560345,0.793359375,0.4105546875
40,A,contrast_low,0.6094644178046258,0.545944522710545,0.08069500416085039,1.3614701156367688,0.1368356965053868,0.1090100250142721,0.0067405699612578225,0.3605629508477749,1.0828393126437037,0.9918320165924854,0.36181495190139706,2.107887546981296,0.776796875,0.41587500000000005
