bank,context,stratum,n,actual_true_regret_pp,actual_canonical_agreement,actual_optimal_set_agreement,actual_L1,actual_DU_pp,boot_true_regret_mean_pp,boot_canonical_agreement,boot_optimal_set_agreement,boot_L1_mean,boot_DU_mean_pp
ALL,ALL,all,8000,2.9666580960231514,0.615625,0.620875,0.7669828989772164,10.104670625529739,2.2801838371745817,0.6651806640625,0.6719130859375,0.7140977809558919,9.959359628242554
ALL,ALL,legacy_quartile_1,2000,1.281537313464969,0.4295,0.4505,0.7329900641238989,7.805147376122238,1.1333367517193083,0.44171875,0.4686484375,0.6710269076031552,7.781925066042311
ALL,ALL,legacy_quartile_2,2000,2.6847727014216733,0.5625,0.5625,0.7322625102105953,9.123258557379078,1.96318115170976,0.62392578125,0.62392578125,0.7124461229369881,9.146421526298546
ALL,ALL,legacy_quartile_3,2000,3.040996637843617,0.7005,0.7005,0.7726717554027361,9.989396632314667,2.2898714396198065,0.77305859375,0.77305859375,0.7085654444593272,9.650847733247298
ALL,ALL,legacy_quartile_4,2000,4.859325731362345,0.77,0.77,0.8300072661716348,13.500879936302983,3.7343460056494533,0.82201953125,0.82201953125,0.764352648824097,13.25824418738206
ALL,ALL,best_tied,86,0.010859580897439198,0.46511627906976744,0.9534883720930233,0.9300469805821232,8.131605906638544,0.037820157736226725,0.345203488372093,0.9714752906976745,0.4595090705843902,5.2104695898764595
ALL,ALL,singleton,7914,2.998778221408647,0.6172605509224159,0.6172605509224159,0.7652109112316994,10.12611156131754,2.3045511958341347,0.6686577978898155,0.6686577978898155,0.7168643502118875,10.010964953400435
A,clean,all,800,2.5226773540715555,0.63875,0.6425,0.7322503284248316,9.001289969027685,1.633584965308245,0.690107421875,0.69341796875,0.6662606280102562,8.564122285521885
A,clean,legacy_quartile_1,200,0.775412221673159,0.535,0.55,0.6675601217717159,6.938889354494036,1.1151014111213131,0.4456640625,0.45890625,0.6452224360336164,6.852543054440409
A,clean,legacy_quartile_2,223,2.1729188445358734,0.5829596412556054,0.5829596412556054,0.7007212155634104,7.98522704439594,1.5960848569652337,0.633583239910314,0.633583239910314,0.667098023996251,8.1269573468213
A,clean,legacy_quartile_3,244,2.307471140526529,0.7540983606557377,0.7540983606557377,0.7283539606306607,9.102935947327145,1.2093934354825884,0.8648501536885246,0.8648501536885246,0.6366625020237822,8.611604655829625
A,clean,legacy_quartile_4,133,6.131395325583756,0.6766917293233082,0.6766917293233082,0.8895416610601533,13.619790242670842,3.254351644070186,0.8318843984962406,0.8318843984962406,0.750793273357255,11.78380596365299
A,clean,best_tied,5,0.031007751937984496,0.2,0.8,1.2549292734187296,6.841471368436619,0.017613852750033784,0.4015625,0.93125,0.39968302679028705,3.444639513071029
A,clean,singleton,795,2.5383482320723956,0.6415094339622641,0.6415094339622641,0.728963039462606,9.014873733811276,1.6437483056388003,0.6919221698113207,0.6919221698113207,0.6679372166971743,8.596320290380067
A,brightness_dark,all,800,2.262273444174143,0.68125,0.69125,0.7460774734548644,10.482994467502781,2.371353845234801,0.69220703125,0.70482421875,0.7439110408151002,11.480417871401254
A,brightness_dark,legacy_quartile_1,136,0.8239610277191876,0.33088235294117646,0.3897058823529412,0.6675556634287657,7.3037582866041335,1.0103625539714722,0.41561351102941174,0.48983226102941174,0.6969815492512987,8.784120309418999
A,brightness_dark,legacy_quartile_2,172,2.3008659937399183,0.5348837209302325,0.5348837209302325,0.7889748339945691,9.411964916826276,2.269386091384773,0.6037427325581395,0.6037427325581395,0.7778047387122288,10.916298440092723
A,brightness_dark,legacy_quartile_3,238,3.231752327021102,0.7899159663865546,0.7899159663865546,0.6982896472442739,10.601571279425073,3.581875593903252,0.7142200630252101,0.7142200630252101,0.7916243902485955,11.893641711850053
A,brightness_dark,legacy_quartile_4,254,2.097850593760696,0.8661417322834646,0.8661417322834646,0.8038496104188044,12.799419357585732,2.034854211734509,0.8795829232283464,0.8795829232283464,0.7013792205363559,12.918912897337636
A,brightness_dark,best_tied,15,0.0,0.4666666666666667,1.0,0.5408949915525444,4.91149915202546,0.0,0.32708333333333334,1.0,0.4936773991191207,6.2216362726314305
A,brightness_dark,singleton,785,2.3055015991583625,0.6853503184713375,0.6853503184713375,0.7499981578224246,10.589456161429098,2.4166663390927905,0.6991839171974522,0.6991839171974522,0.7486925753698004,11.580904143989214
A,contrast_low,all,800,4.120927249441292,0.56,0.57,0.8399968109328548,10.984034892546374,3.445859767067532,0.613349609375,0.621298828125,0.7780921176075632,10.720161377837458
A,contrast_low,legacy_quartile_1,170,2.5004297076081565,0.2411764705882353,0.28823529411764703,0.9288058710089971,9.928402743733043,1.1483302392614094,0.3751378676470588,0.41254595588235293,0.7516028355202777,8.194619625528164
A,contrast_low,legacy_quartile_2,153,4.256948726493448,0.42483660130718953,0.42483660130718953,0.7581662682491619,9.688812502798278,2.470776610265943,0.5152675653594772,0.5152675653594772,0.7795102697146151,9.030411439332457
A,contrast_low,legacy_quartile_3,162,4.640081931806888,0.5308641975308642,0.5308641975308642,0.9320279947291523,10.280956282146702,3.0709010920358644,0.6305941358024691,0.6305941358024691,0.7338280765726939,8.344065782328794
A,contrast_low,legacy_quartile_4,315,4.6624200671537555,0.8126984126984127,0.8126984126984127,0.7844840523381269,12.544432434814533,5.352244046663768,0.7806795634920635,0.7806795634920635,0.8144634678618757,14.125879869762056
A,contrast_low,best_tied,9,0.0,0.1111111111111111,1.0,1.1843915620778722,19.056108465007462,0.06496601458885941,0.2743055555555556,0.9809027777777778,0.44706613542839946,4.643583830550932
A,contrast_low,singleton,791,4.167815170104973,0.5651074589127687,0.5651074589127687,0.8360782865835437,10.892190819029118,3.4843275847316386,0.6172072534766119,0.6172072534766119,0.7818585320697788,10.789300692534773
A,gaussian_noise,all,800,2.6126995975228042,0.63625,0.63625,0.7627898107295783,9.838774487073191,1.7663474985832732,0.681943359375,0.688076171875,0.6935522378339766,9.426332584089378
A,gaussian_noise,legacy_quartile_1,245,1.3947854410329632,0.5265306122448979,0.5265306122448979,0.7090606361985934,7.551855938930695,1.1309028259197313,0.4333545918367347,0.4533801020408163,0.679556354587892,7.9069565657548715
A,gaussian_noise,legacy_quartile_2,189,1.9771476163814223,0.6190476190476191,0.6190476190476191,0.6763099232860085,9.342010294663694,1.3822442664463157,0.7120949074074074,0.7120949074074074,0.654949766606111,9.057487220911732
A,gaussian_noise,legacy_quartile_3,200,2.2215932245686294,0.725,0.725,0.8472318656215182,10.181153194509209,1.4102134395914039,0.8437109375,0.8437109375,0.6880311142281648,9.315007922097914
A,gaussian_noise,legacy_quartile_4,166,5.605046388887668,0.7108433734939759,0.7108433734939759,0.8388135186123374,13.367134337513578,3.570602121925602,0.8196065512048193,0.8196065512048193,0.7648117750539749,12.222861683672647
A,gaussian_noise,best_tied,8,0.0,1.0,1.0,1.6914131799271612,8.370303055211524,0.0,0.38671875,1.0,0.4417743062173341,3.705919753266492
A,gaussian_noise,singleton,792,2.6390905025482874,0.6325757575757576,0.6325757575757576,0.7534097766972795,9.853607531839472,1.7841893925083567,0.6849254261363636,0.6849254261363636,0.6960954492644479,9.484114531875468
A,gaussian_blur,all,800,3.1422334017136517,0.565,0.5675,0.7434430859551813,9.47437784722768,2.237612613338616,0.644833984375,0.6471484375,0.6765032719923364,8.788759191300876
A,gaussian_blur,legacy_quartile_1,205,0.7889828880700817,0.3804878048780488,0.3902439024390244,0.6997116663866935,6.492180439597745,1.0568821902651324,0.471265243902439,0.48029725609756097,0.5986246280971093,6.283921018472521
A,gaussian_blur,legacy_quartile_2,266,2.5721506942759444,0.5338345864661654,0.5338345864661654,0.7062399571979464,8.052521343673174,2.1938999266248533,0.5773320018796992,0.5773320018796992,0.7028380092245615,8.217661939805174
A,gaussian_blur,legacy_quartile_3,176,3.692330081325679,0.6988636363636364,0.6988636363636364,0.7683841967381265,10.088528318198415,2.459629472698498,0.7896839488636364,0.7896839488636364,0.685691028170419,9.151762876021552
A,gaussian_blur,legacy_quartile_4,153,6.653614708011985,0.7124183006535948,0.7124183006535948,0.8380269929039791,15.235644615977913,3.640242313656169,0.828125,0.828125,0.7244969766159124,12.720230078992586
A,gaussian_blur,best_tied,6,0.1039744062999877,0.3333333333333333,0.6666666666666666,0.5545469814965741,3.4233844964332985,0.2307388525510179,0.4908854166666667,0.7994791666666666,0.4329327778915282,4.402146049958758
