client,bank,context,D_actual,p50,p90,p95,maximum,percentile,above_p95
0,A,clean,0.19379770806734103,0.15178195682319623,0.22386919119335166,0.23617003949799278,0.3746313924648602,0.78125,False
0,A,brightness_dark,0.12828475930948627,0.14026057989067459,0.2216739051727686,0.24188963948827769,0.335410896646066,0.4140625,False
0,A,contrast_low,0.19836423556080368,0.13693304977570497,0.19964239747175677,0.21286209672899248,0.257755736601085,0.8984375,False
0,A,gaussian_noise,0.20637971715712874,0.14417322836116242,0.21242048004907063,0.22658762068118074,0.31102778322092983,0.8828125,False
0,A,gaussian_blur,0.241452177037729,0.14745669650698587,0.220177186536116,0.2526109766206779,0.3562382481018702,0.921875,False
0,B,clean,0.19379770806734103,0.1551499196828679,0.21728365481021739,0.24257248293677663,0.32818018415633105,0.7734375,False
0,B,brightness_dark,0.13032745827868059,0.15107216778971594,0.24087023681583272,0.2559910066017861,0.3642256495264163,0.3203125,False
0,B,contrast_low,0.19454798506809087,0.13319442150254507,0.2078341636006799,0.23872339163276568,0.2880773580319798,0.859375,False
0,B,gaussian_noise,0.2047098845536955,0.1400125840412325,0.2043704793643123,0.2331686283713838,0.26827603899772745,0.8984375,False
0,B,gaussian_blur,0.24481257916168092,0.15131166175498015,0.2267686260005782,0.25357091265825066,0.334662782956876,0.9296875,False
1,A,clean,0.15852161619106478,0.13983091221128385,0.19890454682781356,0.22756708271262602,0.2888126317724735,0.65625,False
1,A,brightness_dark,0.1164485705114143,0.1467755388177701,0.2087538033250118,0.2412159599407683,0.34363554661571555,0.2890625,False
1,A,contrast_low,0.07418630030066407,0.13446553619874885,0.19765535421130126,0.22515547079265275,0.27176104695416686,0.0390625,False
1,A,gaussian_noise,0.18841856280606445,0.16573995021203317,0.2412442849496654,0.26433204695518453,0.30181527004390435,0.7109375,False
1,A,gaussian_blur,0.1756445883442861,0.15090437437900905,0.2358891984189498,0.2705569599695675,0.29788784422016396,0.6953125,False
1,B,clean,0.15852161619106478,0.1573998426793509,0.22164587031950603,0.24783979673911,0.3091661981721136,0.515625,False
1,B,brightness_dark,0.11707301028014536,0.14259258202397546,0.22584169158274492,0.26596218267848304,0.3429543181334159,0.296875,False
1,B,contrast_low,0.0797746170166437,0.14733899002960893,0.2268502726999713,0.25056623278689294,0.39970496328388155,0.078125,False
1,B,gaussian_noise,0.18444766483899608,0.1424736169226653,0.21378823794668966,0.22394469313571902,0.25591276567088256,0.7578125,False
1,B,gaussian_blur,0.1775908721361707,0.16649151322661615,0.24102420583219034,0.2611358606370252,0.34290600246603475,0.6328125,False
2,A,clean,0.11089244996671287,0.1421542983225905,0.22488437483574392,0.2544353319379593,0.35876071449440705,0.2734375,False
2,A,brightness_dark,0.10074476939243866,0.13384715253981255,0.2140426863173294,0.24357877679831214,0.3044437728294836,0.2265625,False
2,A,contrast_low,0.09318355869989235,0.1375521587795806,0.2485539118869916,0.2802004941024958,0.32574790619380806,0.1953125,False
