client,bank,context,salt,train_half,argmax_size,best_tied,legacy_margin_pp,distinct_level_margin_pp,legacy_margin_quartile,actual_state,actual_true_regret_pp,actual_canonical_agreement,actual_optimal_set_agreement,actual_L1,actual_DU_pp,boot_true_regret_mean_pp,boot_true_regret_p05_pp,boot_true_regret_median_pp,boot_true_regret_p95_pp,boot_canonical_agreement,boot_optimal_set_agreement,boot_L1_mean,boot_DU_mean_pp,boot_DU_median_pp,boot_query_oracle_regret_mean_pp,boot_query_oracle_regret_p95_pp
0,A,clean,T013-S0,0,1,False,6.8372849352904925,6.8372849352904925,3,1,0.0,True,True,1.3362858256225123,3.817793571579585,1.5425119089171255,0.0,0.0,9.188347723540554,0.828125,0.828125,0.6810799523485855,6.723507189507863,5.282480818260907,1.5273876404494384,8.98876404494382
0,A,clean,T013-S0,1,1,False,5.524704237284577,5.524704237284577,3,1,0.0,True,True,1.3362858256225123,3.2719970511626686,1.740443752552637,0.0,0.0,9.205538776181234,0.8046875,0.8046875,0.6810799523485855,6.560281370043908,5.033586929594133,1.7029494382022472,8.98876404494382
0,A,clean,T013-S1,0,1,False,6.891060992503539,6.891060992503539,3,1,0.0,True,True,1.3362858256225123,4.052798396112418,1.65256429657898,0.0,0.0,8.597656868569668,0.8046875,0.8046875,0.6810799523485855,6.339962667490181,4.908055598419781,0.8602528089887641,4.49438202247191
0,A,clean,T013-S1,1,1,False,5.478735245171705,5.478735245171705,3,1,0.0,True,True,1.3362858256225123,3.016059273711814,1.5812811976358663,0.0,0.0,9.787778292730303,0.828125,0.828125,0.6810799523485855,6.959779329941036,5.407853149346584,2.2384129213483144,13.48314606741573
0,A,clean,T013-S2,0,1,False,6.971740430318313,6.971740430318313,3,1,0.0,True,True,1.3362858256225123,2.621788168740588,1.66585275689616,0.0,0.0,9.058439637366902,0.8125,0.8125,0.6810799523485855,6.738953110432913,5.31840083106405,1.8258426966292136,10.112359550561798
0,A,clean,T013-S2,1,1,False,5.4035582492872924,5.4035582492872924,3,1,0.0,True,True,1.3362858256225123,4.457613608391655,1.687963759817909,0.0,0.0,9.329647489005353,0.8125,0.8125,0.6810799523485855,6.522678150292174,4.999682662106609,1.4747191011235954,7.865168539325842
0,A,clean,T013-S3,0,1,False,5.362874758326262,5.362874758326262,3,1,0.0,True,True,1.3362858256225123,3.8084982898794326,1.6720726157819512,0.0,0.0,9.42555574024338,0.8125,0.8125,0.6810799523485855,6.959648337482455,5.143983835584152,3.133778089887641,16.853932584269664
0,A,clean,T013-S3,1,1,False,6.994466119480705,6.994466119480705,3,1,0.0,True,True,1.3362858256225123,3.289509477124841,1.6522331663886698,0.0,0.0,8.977132411763106,0.8125,0.8125,0.6810799523485855,6.292510840730917,5.162176573163394,2.405196629213483,3.3707865168539324
0,A,brightness_dark,T013-S0,0,1,False,10.654412588262085,10.654412588262085,4,1,0.0,True,True,1.0996703931487477,7.987548890101219,1.7111471513891205,0.0,0.0,20.784844179224574,0.90625,0.90625,0.7455069142379263,10.369742583727792,8.648072761059952,2.106741573033708,25.84269662921348
0,A,brightness_dark,T013-S0,1,1,False,11.664245365808124,11.664245365808124,4,1,0.0,True,True,1.0996703931487477,8.916863216199127,1.9110000320366543,0.0,0.0,21.827816488230376,0.890625,0.890625,0.7455069142379263,10.424319533191836,8.698015752002597,2.5983146067415728,31.46067415730337
0,A,brightness_dark,T013-S1,0,1,False,12.401783653554363,12.401783653554363,4,1,0.0,True,True,1.0996703931487477,8.923715133048152,1.6923293155219978,0.0,0.0,22.426600178269076,0.9140625,0.9140625,0.7455069142379263,10.635702615134457,8.96381247006522,2.010182584269663,25.84269662921348
0,A,brightness_dark,T013-S1,1,1,False,9.937450347577355,9.937450347577355,4,1,0.0,True,True,1.0996703931487477,7.987044625615577,2.119106398481053,0.0,0.0,20.200951764153174,0.859375,0.859375,0.7455069142379263,10.174440913808844,8.451767939137197,2.8441011235955056,31.46067415730337
