K,bank,context,salt,macroclass_p05,macroclass_median,macroclass_p95,capture_p05,capture_median,capture_p95,actual_capture,explained,median80,capture_p05_exact,capture_median_exact,capture_p95_exact
80,B,clean,T013-S1,39.427359528498386,39.77458413259155,40.05897821621714,0.8734592241999927,0.9308056942486681,0.9777752828273604,0.660241936294391,False,True,35525011667256966162339/40671631466019001218610,3785738616295379154680/4067163146601900121861,3976771595973689720568/4067163146601900121861
80,B,clean,T013-S2,39.455523810567186,39.81318634241132,40.098441155960586,0.8712455293506031,0.9298540712545921,0.9765974877567772,0.6944691024638237,False,True,71428393141333598941579/81984229169673791034640,1905834231802266474035/2049605729241844775866,80065592242779315760967/81984229169673791034640
80,B,clean,T013-S3,39.41529921491559,39.81806828927777,40.111560590948415,0.8517348524477233,0.9167486594085462,0.9641233290639059,0.6766381332071006,False,True,6444363676306142074937/7566161767111292270520,635824626879518473644/693564828651868458131,20060460945644306585249/20806944859556053743930
80,B,brightness_dark,T013-S0,33.9783839981563,34.58073878354377,34.936679929216425,0.9278926304462248,0.9619060436025735,0.9820051173391923,0.8798347613748484,False,True,44151723337422967398241/47582793405946488509136,22885088274336303690923/23791396702973244254568,38938788851610853529741/39652327838288740424280
80,B,brightness_dark,T013-S1,34.067383554850885,34.6064648394288,34.975898151820154,0.9308056681862172,0.9611772600743195,0.9819909631554884,0.8826959918194411,False,True,5284625499787545776723/5677474558234321247290,7639883216035451104777/7948464381528049746206,234159605808714687553387/238453931445841492386180
80,B,brightness_dark,T013-S2,34.058450230273074,34.555834367007556,34.97294444293177,0.9278572322137998,0.9558059740046045,0.979243998962309,0.8789056673131772,False,True,221834257269920984990737/239082317374021650609680,22851630722495475397381/23908231737402165060968,58529981136628220118401/59770579343505412652420
80,B,brightness_dark,T013-S3,34.04803769065768,34.55059381976137,34.92548693774712,0.9307711136510816,0.9591170359302341,0.9802623181584421,0.8807171150984363,False,True,2285508981490141281811/2455500549995485345440,7614863456532091879621/7939451778318735950256,233482362153656692788157/238183553349562078507680
80,B,contrast_low,T013-S0,31.403555681645788,32.10745168461591,32.719544662275034,0.8537541355420615,0.9062470436189602,0.9518937588655297,0.7119183148827519,False,True,15380075750085920353849/18014642752296452715192,5441905578706796200733/6004880917432150905064,171480260041031435165221/180146427522964527151920
80,B,contrast_low,T013-S1,31.352750333321108,32.117493531081124,32.726965810594116,0.8624095602815861,0.9202751128174351,0.966391835807065,0.7244262063851404,False,True,76559109447273638277911/88773493445824345149170,16339207339210767007529/17754698689164869029834,85789979302116642232107/88773493445824345149170
80,B,contrast_low,T013-S2,31.388711044557315,32.11865061850553,32.69359860586422,0.857745037925585,0.9125056052703792,0.9556385975141221,0.7296730609768155,False,True,153601328931945119847973/179075741788518560513680,16340761814997425151375/17907574178851856051368,85565845365790468849219/89537870894259280256840
80,B,contrast_low,T013-S3,31.413046841520796,32.14711747280862,32.73905648052777,0.8506432959201292,0.9051418205652518,0.9490882764314899,0.7216144784506094,False,True,30785653079225968103617/36191025341504100732024,1819889475874010414993/2010612518972450040668,42935597329570625283587/45238781676880125915030
80,B,gaussian_noise,T013-S0,36.589458833285576,37.0681419185082,37.39915141375011,0.8572392037263052,0.9266386197531565,0.9746283364953874,0.6911112257985675,False,True,19858758133515176238644/23165947202591513118935,8586584536433559282187/9266378881036605247574,90312754341606953674701/92663788810366052475740
80,B,gaussian_noise,T013-S1,36.66517516329014,37.08216203405576,37.41831795079258,0.8682024350081788,0.9286561585864455,0.9773912106812347,0.6930330252161321,False,True,80452234857447992060937/92665295112527646074380,8605419699347924457365/9266529511252764607438,90570244978167299109121/92665295112527646074380
80,B,gaussian_noise,T013-S2,36.594237981299884,37.05483223401537,37.392194059727004,0.8563248423047636,0.9229766423723291,0.9717956904286021,0.6898152200839905,False,True,9937404681020175156874/11604713760579517646915,778973072176847102031/843979182587601283412,9021928656950937623171/9283771008463614117532
80,B,gaussian_noise,T013-S3,36.62946634462197,37.08048611691165,37.41688706834834,0.861302157703738,0.9265593199131601,0.9752325107665496,0.6790991680965003,False,True,19993127210443057860877/23212675170517907401140,8603168207744068357085/9285070068207162960456,90551021952610090963961/92850700682071629604560
80,B,gaussian_blur,T013-S0,38.734913926214375,39.24553778763843,39.596153064156624,0.8744476516306222,0.9314494076817781,0.9705891502001982,0.6736879049950898,False,True,3006743839475279869891/3438449212904246815132,5604797594731189653849/6017286122582431926481,116806252484574564223269/120345722451648638529620
80,B,gaussian_blur,T013-S1,38.68582603370381,39.19334798988094,39.49466684021467,0.86960355142796,0.9263004809571673,0.9599617904143499,0.6830888405082297,False,True,52288284368921978442523/60128876294330160109130,11139481406170408990697/12025775258866032021826,115442847486216291181011/120257752588660320218260
80,B,gaussian_blur,T013-S2,38.71818440334084,39.276324079072275,39.5524201103961,0.8693129307662415,0.9313856622380469,0.96209130019567,0.6814149671445016,False,True,105011283531519646933389/120798023145657323585120,11250954678456495769021/12079802314565732358512,116218727149272094066197/120798023145657323585120
80,B,gaussian_blur,T013-S3,38.72377065368425,39.2376139653899,39.54297625940614,0.8679888733011392,0.9250074567074726,0.9588919600840363,0.6793900620838814,False,True,105086331368994042014161/121068753991429909412880,5599475010817763142839/6053437699571495470644,2579818995994982633833/2690416755365109098064
160,A,clean,T013-S0,39.77583116324116,40.02684972533883,40.235020040471994,0.9201518774030141,0.961125695727085,0.9951053847247948,0.7143079891391769,False,True,9466440676960518460097/10287911060593690422740,7910380540553186871515/8230328848474952338192,10237555693966556243029/10287911060593690422740
160,A,clean,T013-S1,39.727508297365354,40.03507984595959,40.22400937356211,0.9074692750437413,0.9574103737464162,0.9880872950317966,0.6758856059222951,False,True,75082337434192675808057/82738159295336587968420,3960718600701936106514/4136907964766829398421,27250841338013008223479/27579386431778862656140
160,A,clean,T013-S2,39.77232110181597,40.02612562500825,40.230114454420956,0.9146182322482236,0.9558233159389102,0.9889408375740465,0.6878753899776595,False,True,75684369899341479171341/82749684218847998783420,7909407756295700952155/8274968421884799878342,81834542020375395007927/82749684218847998783420
