target,context,layer,ratio_defined_clients,restoration_ratio,mse_before,mse_after,gamma_abs_mean,beta_abs_mean,cap_fraction,negative_scale_fraction,gamma_abs_max_max,beta_abs_max_max,cap_fraction_max,clients_cap_gt10pct
brightness_dark,oracle_correct,1,2,0.3211038759565339,0.10775838733827939,0.03463454659317033,1.4451683163642883,0.24579955637454987,0.0625,0.0,7.0,1.5378942489624023,0.0625,0
brightness_dark,oracle_correct,2,2,0.8715880018851424,0.04425531039268642,0.038568653376404166,0.24557491391897202,0.10557573288679123,0.0,0.015625,1.0009312629699707,0.7482846975326538,0.0,0
brightness_dark,oracle_wrong_clean,1,0,,0.0,2.513957275327513e-09,0.00025150179862976074,4.561886271403637e-05,0.0,0.0,0.0008529424667358398,0.00016210968897212297,0.0,0
brightness_dark,oracle_wrong_clean,2,2,15.53385151271337,5.18453479501452e-09,8.045725176078067e-08,0.014601591043174267,4.761442505696323e-05,0.0,0.0,0.5960014462471008,0.00020908145233988762,0.0,0
brightness_dark,oracle_wrong_alt,1,2,0.5737091410109408,0.023617851279794697,0.013540671414709344,0.2314368486404419,0.01823222916573286,0.0,0.0,0.5554420948028564,0.04766242206096649,0.0,0
brightness_dark,oracle_wrong_alt,2,2,0.8124861468885008,0.011967578718374054,0.00973346515203545,0.1255054622888565,0.07463300973176956,0.0,0.0,0.7858821153640747,0.3596573770046234,0.0,0
brightness_dark,oracle_noise_source,1,2,0.47878623696656947,0.1950033341081504,0.09342462141577254,0.9969262778759003,0.25518834590911865,0.0,0.40625,1.0395091772079468,0.6488208770751953,0.0,0
brightness_dark,oracle_noise_source,2,2,0.8391253469685854,0.17932839405876633,0.15060621667013913,1.5095155835151672,1.024468183517456,0.0078125,0.2890625,7.0,8.280349731445312,0.015625,0
contrast_low,oracle_correct,1,2,0.4375186966078538,0.05186547072484454,0.02274514356551075,1.0414429605007172,0.052564121782779694,0.0,0.0,2.86999249458313,0.16470356285572052,0.0,0
contrast_low,oracle_correct,2,2,0.8715749566045313,0.04471646263605895,0.038963951940346825,0.15907397866249084,0.0830257274210453,0.0,0.0078125,1.000023603439331,0.4441782236099243,0.0,0
contrast_low,oracle_wrong_clean,1,0,,0.0,2.513957275327513e-09,0.00025150179862976074,4.561886271403637e-05,0.0,0.0,0.0008529424667358398,0.00016210968897212297,0.0,0
contrast_low,oracle_wrong_clean,2,2,15.53385151271337,5.18453479501452e-09,8.045725176078067e-08,0.014601591043174267,4.761442505696323e-05,0.0,0.0,0.5960014462471008,0.00020908145233988762,0.0,0
contrast_low,oracle_wrong_alt,1,2,0.6198066963957491,0.014498735551475392,0.00898634518248958,0.2442896068096161,0.024982267059385777,0.0,0.0,1.1095530986785889,0.04468439146876335,0.0,0
contrast_low,oracle_wrong_alt,2,2,0.8877855587447919,0.009812965005804756,0.008717302759495046,0.058934712782502174,0.03643578290939331,0.0,0.0,1.0,0.10247992724180222,0.0,0
contrast_low,oracle_noise_source,1,2,0.47878623696656947,0.1950033341081504,0.09342462141577254,0.9969262778759003,0.25518834590911865,0.0,0.40625,1.0395091772079468,0.6488208770751953,0.0,0
contrast_low,oracle_noise_source,2,2,0.8391253469685854,0.17932839405876633,0.15060621667013913,1.5095155835151672,1.024468183517456,0.0078125,0.2890625,7.0,8.280349731445312,0.015625,0
gaussian_noise,oracle_correct,1,2,0.5737091410109408,0.023617851279794697,0.013540671414709344,0.2314368486404419,0.01823222916573286,0.0,0.0,0.5554420948028564,0.04766242206096649,0.0,0
gaussian_noise,oracle_correct,2,2,0.8124861468885008,0.011967578718374054,0.00973346515203545,0.1255054622888565,0.07463300973176956,0.0,0.0,0.7858821153640747,0.3596573770046234,0.0,0
gaussian_noise,oracle_wrong_clean,1,0,,0.0,2.513957275327513e-09,0.00025150179862976074,4.561886271403637e-05,0.0,0.0,0.0008529424667358398,0.00016210968897212297,0.0,0
gaussian_noise,oracle_wrong_clean,2,2,15.53385151271337,5.18453479501452e-09,8.045725176078067e-08,0.014601591043174267,4.761442505696323e-05,0.0,0.0,0.5960014462471008,0.00020908145233988762,0.0,0
gaussian_noise,oracle_wrong_alt,1,2,0.3211038759565339,0.10775838733827939,0.03463454659317033,1.4451683163642883,0.24579955637454987,0.0625,0.0,7.0,1.5378942489624023,0.0625,0
gaussian_noise,oracle_wrong_alt,2,2,0.8715880018851424,0.04425531039268642,0.038568653376404166,0.24557491391897202,0.10557573288679123,0.0,0.015625,1.0009312629699707,0.7482846975326538,0.0,0
gaussian_noise,oracle_noise_source,1,2,0.47878623696656947,0.1950033341081504,0.09342462141577254,0.9969262778759003,0.25518834590911865,0.0,0.40625,1.0395091772079468,0.6488208770751953,0.0,0
gaussian_noise,oracle_noise_source,2,2,0.8391253469685854,0.17932839405876633,0.15060621667013913,1.5095155835151672,1.024468183517456,0.0078125,0.2890625,7.0,8.280349731445312,0.015625,0
gaussian_blur,oracle_correct,1,2,0.6198066963957491,0.014498735551475392,0.00898634518248958,0.2442896068096161,0.024982267059385777,0.0,0.0,1.1095530986785889,0.04468439146876335,0.0,0
gaussian_blur,oracle_correct,2,2,0.8877855587447919,0.009812965005804756,0.008717302759495046,0.058934712782502174,0.03643578290939331,0.0,0.0,1.0,0.10247992724180222,0.0,0
gaussian_blur,oracle_wrong_clean,1,0,,0.0,2.513957275327513e-09,0.00025150179862976074,4.561886271403637e-05,0.0,0.0,0.0008529424667358398,0.00016210968897212297,0.0,0
gaussian_blur,oracle_wrong_clean,2,2,15.53385151271337,5.18453479501452e-09,8.045725176078067e-08,0.014601591043174267,4.761442505696323e-05,0.0,0.0,0.5960014462471008,0.00020908145233988762,0.0,0
gaussian_blur,oracle_wrong_alt,1,2,0.4375186966078538,0.05186547072484454,0.02274514356551075,1.0414429605007172,0.052564121782779694,0.0,0.0,2.86999249458313,0.16470356285572052,0.0,0
gaussian_blur,oracle_wrong_alt,2,2,0.8715749566045313,0.04471646263605895,0.038963951940346825,0.15907397866249084,0.0830257274210453,0.0,0.0078125,1.000023603439331,0.4441782236099243,0.0,0
