client,target,n_query,none,oracle_correct,oracle_wrong_clean,oracle_wrong_alt,oracle_noise_source,oracle_wrong_clean_delta,oracle_wrong_alt_delta,oracle_noise_source_delta
0,brightness_dark,178,6.741572916507721,31.460675597190857,6.741572916507721,4.494382068514824,5.056179687380791,24.719102680683136,26.966293528676033,26.404495909810066
1,brightness_dark,99,0.0,14.141413569450378,0.0,0.0,0.0,14.141413569450378,14.141413569450378,14.141413569450378
2,brightness_dark,140,0.0,1.4285714365541935,0.0,0.0,0.0,1.4285714365541935,1.4285714365541935,1.4285714365541935
3,brightness_dark,216,0.0,14.351852238178253,0.0,0.0,0.0,14.351852238178253,14.351852238178253,14.351852238178253
4,brightness_dark,105,0.0,1.904761977493763,0.0,0.0,0.0,1.904761977493763,1.904761977493763,1.904761977493763
5,brightness_dark,158,25.316455960273743,31.012660264968872,25.316455960273743,26.582279801368713,0.0,5.696204304695129,4.430380463600159,31.012660264968872
6,brightness_dark,261,29.885056614875793,47.12643623352051,29.885056614875793,21.45593762397766,54.7892689704895,17.241379618644714,25.670498609542847,-7.662832736968994
7,brightness_dark,197,3.553299605846405,22.335025668144226,3.553299605846405,1.5228426083922386,0.0,18.78172606229782,20.812183059751987,22.335025668144226
8,brightness_dark,193,0.5181347019970417,11.398963630199432,0.5181347019970417,0.0,0.0,10.88082892820239,11.398963630199432,11.398963630199432
9,brightness_dark,176,0.0,26.13636553287506,0.0,0.0,0.0,26.13636553287506,26.13636553287506,26.13636553287506
10,brightness_dark,282,20.21276503801346,16.66666567325592,20.21276503801346,21.631205081939697,23.404254019260406,-3.546099364757538,-4.964539408683777,-6.737588346004486
11,brightness_dark,180,52.77777910232544,62.77778148651123,52.77777910232544,56.66666626930237,57.777780294418335,10.000002384185791,6.111115217208862,5.0000011920928955
12,brightness_dark,164,12.195121496915817,20.73170691728592,12.195121496915817,11.585365235805511,6.707316637039185,8.536585420370102,9.146341681480408,14.024390280246735
13,brightness_dark,80,18.75,61.250001192092896,18.75,10.000000149011612,76.2499988079071,42.500001192092896,51.250001043081284,-14.999997615814209
14,brightness_dark,71,88.73239159584045,67.60563254356384,88.73239159584045,92.95774698257446,97.183096408844,-21.12675905227661,-25.35211443901062,-29.57746386528015
15,brightness_dark,236,0.0,0.42372881434857845,0.0,0.0,0.0,0.42372881434857845,0.42372881434857845,0.42372881434857845
16,brightness_dark,21,19.0476194024086,57.14285969734192,19.0476194024086,9.5238097012043,9.5238097012043,38.09524029493332,47.61904999613762,47.61904999613762
17,brightness_dark,87,13.793103396892548,68.96551847457886,13.793103396892548,6.896551698446274,77.01149582862854,55.17241507768631,62.068966776132584,-8.045977354049683
18,brightness_dark,10,0.0,10.000000149011612,0.0,0.0,0.0,10.000000149011612,10.000000149011612,10.000000149011612
19,brightness_dark,91,57.14285969734192,47.25274741649628,57.14285969734192,61.538463830947876,65.93406796455383,-9.890112280845642,-14.2857164144516,-18.681320548057556
20,brightness_dark,152,53.28947305679321,71.71052694320679,53.28947305679321,36.84210479259491,100.0,18.421053886413574,34.86842215061188,-28.289473056793213
21,brightness_dark,242,0.0,0.826446246355772,0.0,0.0,0.0,0.826446246355772,0.826446246355772,0.826446246355772
