salt,bank,composition_gain,client_gain,composition_capture,composition_minus_mismatch_mean,passed
T013-S0,A,6.2656007085288214,5.772385024505814,1.0854440031164123,7.666267641595313,True
T013-S0,B,6.147286877013512,5.614275925269238,1.094938502994705,7.545256640717926,True
T013-S1,A,6.265066669860899,5.683542616938382,1.1023171799907736,7.695241750034337,True
T013-S1,B,6.094397235930378,5.341655786001336,1.1409191232242484,7.588600564624343,True
T013-S2,A,6.270973379261179,5.837041401649558,1.0743410827082691,7.64298736674882,True
T013-S2,B,6.146349105188737,5.565886602053769,1.104289315366357,7.557340779306308,True
T013-S3,A,6.290977073255364,5.58170240373355,1.1270713875837213,7.740419053360532,True
T013-S3,B,6.159693498860587,5.523958162687494,1.1150869209088645,7.582506657291749,True
